
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.49, 'augment': False, 'method': 'rk4', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 32])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 1, Runtime: 0.2279, Loss: 1.954, forward nfe 28, backward nfe 0, tmp_train: 0.1714, tmp_val: 0.1713, tmp_test: 0.1513, Train: 0.1714, Val: 0.1713, Test: 0.1513, Best time: 2.4900
Epoch: 2, Runtime: 0.8324, Loss: 1.936, forward nfe 84, backward nfe 0, tmp_train: 0.2643, tmp_val: 0.2331, tmp_test: 0.2203, Train: 0.2643, Val: 0.2331, Test: 0.2203, Best time: 2.4900
Epoch: 3, Runtime: 1.4592, Loss: 1.876, forward nfe 140, backward nfe 0, tmp_train: 0.4857, tmp_val: 0.3493, tmp_test: 0.3827, Train: 0.4857, Val: 0.3493, Test: 0.3827, Best time: 2.4900
Epoch: 4, Runtime: 0.1152, Loss: 1.848, forward nfe 196, backward nfe 0, tmp_train: 0.7071, tmp_val: 0.5846, tmp_test: 0.5898, Train: 0.7071, Val: 0.5846, Test: 0.5898, Best time: 2.4900
Epoch: 5, Runtime: 0.1221, Loss: 1.834, forward nfe 252, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.7066, tmp_test: 0.7005, Train: 0.7929, Val: 0.7066, Test: 0.7005, Best time: 2.4900
Epoch: 6, Runtime: 0.1905, Loss: 1.811, forward nfe 308, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.7522, tmp_test: 0.7492, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 7, Runtime: 0.1204, Loss: 1.773, forward nfe 364, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7500, tmp_test: 0.7523, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 8, Runtime: 0.1729, Loss: 1.755, forward nfe 420, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.7346, tmp_test: 0.7482, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 9, Runtime: 0.1804, Loss: 1.705, forward nfe 476, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7434, tmp_test: 0.7350, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 10, Runtime: 0.1566, Loss: 1.686, forward nfe 532, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7507, tmp_test: 0.7330, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 11, Runtime: 0.1391, Loss: 1.699, forward nfe 588, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7522, tmp_test: 0.7371, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 12, Runtime: 0.1120, Loss: 1.639, forward nfe 644, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7478, tmp_test: 0.7513, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 13, Runtime: 0.1536, Loss: 1.540, forward nfe 700, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7368, tmp_test: 0.7543, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 14, Runtime: 0.2268, Loss: 1.520, forward nfe 756, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7309, tmp_test: 0.7523, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 15, Runtime: 0.1189, Loss: 1.505, forward nfe 812, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7272, tmp_test: 0.7442, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 16, Runtime: 0.1133, Loss: 1.520, forward nfe 868, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7235, tmp_test: 0.7371, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 17, Runtime: 0.1555, Loss: 1.490, forward nfe 924, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7287, tmp_test: 0.7411, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 18, Runtime: 0.1798, Loss: 1.467, forward nfe 980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7338, tmp_test: 0.7492, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 19, Runtime: 0.1530, Loss: 1.439, forward nfe 1036, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7449, tmp_test: 0.7624, Train: 0.8857, Val: 0.7522, Test: 0.7492, Best time: 2.4900
Epoch: 20, Runtime: 0.1418, Loss: 1.448, forward nfe 1092, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7777, Train: 1.0000, Val: 0.7728, Test: 0.7777, Best time: 2.4900
Epoch: 21, Runtime: 0.1934, Loss: 1.336, forward nfe 1148, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7827, Train: 1.0000, Val: 0.7735, Test: 0.7827, Best time: 2.4900
Epoch: 22, Runtime: 0.1279, Loss: 1.290, forward nfe 1204, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7888, Train: 1.0000, Val: 0.7735, Test: 0.7827, Best time: 2.4900
