
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.19, 'augment': False, 'method': 'euler', 'step_size': 0.25, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1465, Loss: 1.946, forward nfe 9, backward nfe 0, tmp_train: 0.6857, tmp_val: 0.4353, tmp_test: 0.4203, Train: 0.6857, Val: 0.4353, Test: 0.4203, Best time: 2.1900
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7478, Loss: 1.856, forward nfe 27, backward nfe 0, tmp_train: 0.7500, tmp_val: 0.5000, tmp_test: 0.5107, Train: 0.7500, Val: 0.5000, Test: 0.5107, Best time: 2.1900
Epoch: 3, Runtime: 1.4290, Loss: 1.679, forward nfe 45, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.4993, tmp_test: 0.5228, Train: 0.7500, Val: 0.5000, Test: 0.5107, Best time: 2.1900
Epoch: 4, Runtime: 0.0751, Loss: 1.374, forward nfe 63, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7213, tmp_test: 0.7695, Train: 0.9571, Val: 0.7213, Test: 0.7695, Best time: 2.1900
Epoch: 5, Runtime: 0.0914, Loss: 0.908, forward nfe 81, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7066, tmp_test: 0.7391, Train: 0.9571, Val: 0.7213, Test: 0.7695, Best time: 2.1900
Epoch: 6, Runtime: 0.0812, Loss: 0.693, forward nfe 99, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7162, tmp_test: 0.7421, Train: 0.9571, Val: 0.7213, Test: 0.7695, Best time: 2.1900
Epoch: 7, Runtime: 0.2022, Loss: 0.475, forward nfe 117, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.6699, tmp_test: 0.7137, Train: 0.9571, Val: 0.7213, Test: 0.7695, Best time: 2.1900
Epoch: 8, Runtime: 0.1430, Loss: 0.644, forward nfe 135, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7324, tmp_test: 0.7695, Train: 0.9429, Val: 0.7324, Test: 0.7695, Best time: 2.1900
Epoch: 9, Runtime: 0.0804, Loss: 0.483, forward nfe 153, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7485, tmp_test: 0.7868, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 10, Runtime: 0.0762, Loss: 0.294, forward nfe 171, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.6831, tmp_test: 0.7086, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 11, Runtime: 0.0787, Loss: 0.340, forward nfe 189, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.6919, tmp_test: 0.7371, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 12, Runtime: 0.0839, Loss: 0.356, forward nfe 207, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7485, tmp_test: 0.7919, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 13, Runtime: 0.1812, Loss: 0.276, forward nfe 225, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7228, tmp_test: 0.7817, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 14, Runtime: 0.1069, Loss: 0.306, forward nfe 243, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7176, tmp_test: 0.7736, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 15, Runtime: 0.1260, Loss: 0.324, forward nfe 261, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7206, tmp_test: 0.7563, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 16, Runtime: 0.0890, Loss: 0.270, forward nfe 279, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6919, tmp_test: 0.7269, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 17, Runtime: 0.0873, Loss: 0.306, forward nfe 297, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6853, tmp_test: 0.7411, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 18, Runtime: 0.1604, Loss: 0.313, forward nfe 315, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6897, tmp_test: 0.7381, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 19, Runtime: 0.0914, Loss: 0.274, forward nfe 333, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6912, tmp_test: 0.7442, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 20, Runtime: 0.0699, Loss: 0.174, forward nfe 351, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6963, tmp_test: 0.7543, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
Epoch: 21, Runtime: 0.0757, Loss: 0.233, forward nfe 369, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7044, tmp_test: 0.7431, Train: 0.9857, Val: 0.7485, Test: 0.7868, Best time: 2.1900
