
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.39, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1962, Loss: 1.967, forward nfe 6, backward nfe 0, tmp_train: 0.6000, tmp_val: 0.3640, tmp_test: 0.3594, Train: 0.6000, Val: 0.3640, Test: 0.3594, Best time: 2.3900
Epoch: 2, Runtime: 0.7424, Loss: 1.848, forward nfe 18, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6375, tmp_test: 0.6579, Train: 0.8786, Val: 0.6375, Test: 0.6579, Best time: 2.3900
Epoch: 3, Runtime: 1.4342, Loss: 1.699, forward nfe 30, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7029, tmp_test: 0.7239, Train: 0.9357, Val: 0.7029, Test: 0.7239, Best time: 2.3900
Epoch: 4, Runtime: 0.0853, Loss: 1.597, forward nfe 42, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7051, tmp_test: 0.7299, Train: 0.9429, Val: 0.7051, Test: 0.7299, Best time: 2.3900
Epoch: 5, Runtime: 0.0422, Loss: 1.359, forward nfe 54, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7103, tmp_test: 0.7310, Train: 0.9571, Val: 0.7103, Test: 0.7310, Best time: 2.3900
Epoch: 6, Runtime: 0.0403, Loss: 1.014, forward nfe 66, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7191, tmp_test: 0.7431, Train: 0.9643, Val: 0.7191, Test: 0.7431, Best time: 2.3900
Epoch: 7, Runtime: 0.0385, Loss: 1.136, forward nfe 78, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7449, tmp_test: 0.7695, Train: 0.9786, Val: 0.7449, Test: 0.7695, Best time: 2.3900
Epoch: 8, Runtime: 0.0472, Loss: 1.049, forward nfe 90, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7772, tmp_test: 0.7797, Train: 0.9857, Val: 0.7772, Test: 0.7797, Best time: 2.3900
Epoch: 9, Runtime: 0.0481, Loss: 0.921, forward nfe 102, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7904, tmp_test: 0.7929, Train: 0.9857, Val: 0.7904, Test: 0.7929, Best time: 2.3900
Epoch: 10, Runtime: 0.0458, Loss: 0.884, forward nfe 114, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8015, tmp_test: 0.7980, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 11, Runtime: 0.0432, Loss: 0.898, forward nfe 126, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.7990, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 12, Runtime: 0.1284, Loss: 0.752, forward nfe 138, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7980, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 13, Runtime: 0.1017, Loss: 0.791, forward nfe 150, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7970, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 14, Runtime: 0.0732, Loss: 0.871, forward nfe 162, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7868, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 15, Runtime: 0.0770, Loss: 0.716, forward nfe 174, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7827, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 16, Runtime: 0.0605, Loss: 0.688, forward nfe 186, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7676, tmp_test: 0.7827, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 17, Runtime: 0.0531, Loss: 0.768, forward nfe 198, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7618, tmp_test: 0.7807, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 18, Runtime: 0.0516, Loss: 0.704, forward nfe 210, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7676, tmp_test: 0.7807, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 19, Runtime: 0.1108, Loss: 0.639, forward nfe 222, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7909, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 20, Runtime: 0.1046, Loss: 0.752, forward nfe 234, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.8041, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 21, Runtime: 0.0583, Loss: 0.658, forward nfe 246, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.8132, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
Epoch: 22, Runtime: 0.0449, Loss: 0.698, forward nfe 258, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.8102, Train: 0.9929, Val: 0.8015, Test: 0.7980, Best time: 2.3900
