
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.08, 'augment': False, 'method': 'rk4', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.weight
torch.Size([7, 32])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 32])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.2429, Loss: 1.941, forward nfe 28, backward nfe 0, tmp_train: 0.1643, tmp_val: 0.3294, tmp_test: 0.2711, Train: 0.1643, Val: 0.3294, Test: 0.2711, Best time: 2.0800
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.8170, Loss: 1.912, forward nfe 84, backward nfe 0, tmp_train: 0.4143, tmp_val: 0.4243, tmp_test: 0.3929, Train: 0.4143, Val: 0.4243, Test: 0.3929, Best time: 2.0800
Epoch: 3, Runtime: 1.4518, Loss: 1.868, forward nfe 140, backward nfe 0, tmp_train: 0.6357, tmp_val: 0.5184, tmp_test: 0.5279, Train: 0.6357, Val: 0.5184, Test: 0.5279, Best time: 2.0800
Epoch: 4, Runtime: 0.1353, Loss: 1.838, forward nfe 196, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.6250, tmp_test: 0.6305, Train: 0.7857, Val: 0.6250, Test: 0.6305, Best time: 2.0800
Epoch: 5, Runtime: 0.1383, Loss: 1.777, forward nfe 252, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.5956, tmp_test: 0.6000, Train: 0.7857, Val: 0.6250, Test: 0.6305, Best time: 2.0800
Epoch: 6, Runtime: 0.1206, Loss: 1.726, forward nfe 308, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.5669, tmp_test: 0.5706, Train: 0.7857, Val: 0.6250, Test: 0.6305, Best time: 2.0800
Epoch: 7, Runtime: 0.1398, Loss: 1.700, forward nfe 364, backward nfe 0, tmp_train: 0.7643, tmp_val: 0.5728, tmp_test: 0.5888, Train: 0.7857, Val: 0.6250, Test: 0.6305, Best time: 2.0800
Epoch: 8, Runtime: 0.1291, Loss: 1.531, forward nfe 420, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.6140, tmp_test: 0.6406, Train: 0.7857, Val: 0.6250, Test: 0.6305, Best time: 2.0800
Epoch: 9, Runtime: 0.1402, Loss: 1.434, forward nfe 476, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6301, tmp_test: 0.6569, Train: 0.8571, Val: 0.6301, Test: 0.6569, Best time: 2.0800
Epoch: 10, Runtime: 0.1515, Loss: 1.305, forward nfe 532, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.6375, tmp_test: 0.6619, Train: 0.9000, Val: 0.6375, Test: 0.6619, Best time: 2.0800
Epoch: 11, Runtime: 0.1389, Loss: 1.272, forward nfe 588, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.6596, tmp_test: 0.6883, Train: 0.9214, Val: 0.6596, Test: 0.6883, Best time: 2.0800
Epoch: 12, Runtime: 0.1444, Loss: 1.076, forward nfe 644, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.6838, tmp_test: 0.7005, Train: 0.9357, Val: 0.6838, Test: 0.7005, Best time: 2.0800
Epoch: 13, Runtime: 0.1411, Loss: 1.080, forward nfe 700, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7007, tmp_test: 0.7056, Train: 0.9571, Val: 0.7007, Test: 0.7056, Best time: 2.0800
Epoch: 14, Runtime: 0.1398, Loss: 1.061, forward nfe 756, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7103, tmp_test: 0.7239, Train: 0.9643, Val: 0.7103, Test: 0.7239, Best time: 2.0800
Epoch: 15, Runtime: 0.1536, Loss: 0.911, forward nfe 812, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7103, tmp_test: 0.7249, Train: 0.9643, Val: 0.7103, Test: 0.7239, Best time: 2.0800
Epoch: 16, Runtime: 0.1420, Loss: 0.912, forward nfe 868, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7125, tmp_test: 0.7340, Train: 0.9714, Val: 0.7125, Test: 0.7340, Best time: 2.0800
Epoch: 17, Runtime: 0.1447, Loss: 0.940, forward nfe 924, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7199, tmp_test: 0.7310, Train: 0.9714, Val: 0.7199, Test: 0.7310, Best time: 2.0800
Epoch: 18, Runtime: 0.1390, Loss: 0.814, forward nfe 980, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7287, tmp_test: 0.7442, Train: 0.9714, Val: 0.7287, Test: 0.7442, Best time: 2.0800
Epoch: 19, Runtime: 0.1416, Loss: 0.914, forward nfe 1036, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7544, tmp_test: 0.7553, Train: 0.9643, Val: 0.7544, Test: 0.7553, Best time: 2.0800
Epoch: 20, Runtime: 0.1542, Loss: 0.770, forward nfe 1092, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7610, tmp_test: 0.7675, Train: 0.9714, Val: 0.7610, Test: 0.7675, Best time: 2.0800
Epoch: 21, Runtime: 0.1431, Loss: 0.658, forward nfe 1148, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7566, tmp_test: 0.7614, Train: 0.9714, Val: 0.7610, Test: 0.7675, Best time: 2.0800
