/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.48, 'augment': False, 'method': 'rk4', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.3656, Loss: 1.947, forward nfe 24, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7176, tmp_test: 0.7178, Train: 0.9357, Val: 0.7176, Test: 0.7178, Best time: 2.4800
Epoch: 2, Runtime: 0.0978, Loss: 1.682, forward nfe 72, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7610, tmp_test: 0.7665, Train: 0.9571, Val: 0.7610, Test: 0.7665, Best time: 2.4800
Epoch: 3, Runtime: 0.1158, Loss: 1.400, forward nfe 120, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7904, tmp_test: 0.7827, Train: 0.9643, Val: 0.7904, Test: 0.7827, Best time: 2.4800
Epoch: 4, Runtime: 0.1021, Loss: 1.067, forward nfe 168, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.8037, tmp_test: 0.7878, Train: 0.9643, Val: 0.8037, Test: 0.7878, Best time: 2.4800
Epoch: 5, Runtime: 0.1126, Loss: 0.813, forward nfe 216, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8140, tmp_test: 0.7990, Train: 0.9714, Val: 0.8140, Test: 0.7990, Best time: 2.4800
Epoch: 6, Runtime: 0.0997, Loss: 0.606, forward nfe 264, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8228, tmp_test: 0.8122, Train: 0.9714, Val: 0.8228, Test: 0.8122, Best time: 2.4800
Epoch: 7, Runtime: 0.1066, Loss: 0.426, forward nfe 312, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8279, tmp_test: 0.8203, Train: 0.9786, Val: 0.8279, Test: 0.8203, Best time: 2.4800
Epoch: 8, Runtime: 0.1009, Loss: 0.306, forward nfe 360, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8301, tmp_test: 0.8294, Train: 0.9857, Val: 0.8301, Test: 0.8294, Best time: 2.4800
Epoch: 9, Runtime: 0.1204, Loss: 0.187, forward nfe 408, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8346, tmp_test: 0.8325, Train: 0.9929, Val: 0.8346, Test: 0.8325, Best time: 2.4800
Epoch: 10, Runtime: 0.1077, Loss: 0.164, forward nfe 456, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8331, tmp_test: 0.8274, Train: 0.9929, Val: 0.8346, Test: 0.8325, Best time: 2.4800
Epoch: 11, Runtime: 0.1043, Loss: 0.139, forward nfe 504, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8382, tmp_test: 0.8193, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 12, Runtime: 0.1045, Loss: 0.132, forward nfe 552, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8250, tmp_test: 0.8051, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 13, Runtime: 0.1065, Loss: 0.116, forward nfe 600, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8206, tmp_test: 0.8010, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 14, Runtime: 0.1124, Loss: 0.125, forward nfe 648, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8250, tmp_test: 0.8020, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 15, Runtime: 0.1062, Loss: 0.121, forward nfe 696, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8213, tmp_test: 0.8051, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 16, Runtime: 0.1117, Loss: 0.116, forward nfe 744, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8132, tmp_test: 0.8000, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 17, Runtime: 0.1018, Loss: 0.119, forward nfe 792, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8029, tmp_test: 0.7878, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 18, Runtime: 0.1086, Loss: 0.130, forward nfe 840, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.7797, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 19, Runtime: 0.1109, Loss: 0.142, forward nfe 888, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.7706, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 20, Runtime: 0.1137, Loss: 0.153, forward nfe 936, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.7746, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 21, Runtime: 0.0964, Loss: 0.144, forward nfe 984, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.7848, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 22, Runtime: 0.1130, Loss: 0.169, forward nfe 1032, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8110, tmp_test: 0.8020, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
Epoch: 23, Runtime: 0.1112, Loss: 0.178, forward nfe 1080, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8147, tmp_test: 0.8112, Train: 1.0000, Val: 0.8382, Test: 0.8193, Best time: 2.4800
