
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.36, 'augment': False, 'method': 'euler', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1330, Loss: 1.944, forward nfe 8, backward nfe 0, tmp_train: 0.7500, tmp_val: 0.4993, tmp_test: 0.5198, Train: 0.7500, Val: 0.4993, Test: 0.5198, Best time: 2.3600
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7099, Loss: 1.833, forward nfe 24, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.5324, tmp_test: 0.5310, Train: 0.8143, Val: 0.5324, Test: 0.5310, Best time: 2.3600
Epoch: 3, Runtime: 1.3520, Loss: 1.680, forward nfe 40, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6493, tmp_test: 0.6721, Train: 0.9071, Val: 0.6493, Test: 0.6721, Best time: 2.3600
Epoch: 4, Runtime: 0.0469, Loss: 1.524, forward nfe 56, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7743, tmp_test: 0.7756, Train: 0.9429, Val: 0.7743, Test: 0.7756, Best time: 2.3600
Epoch: 5, Runtime: 0.0477, Loss: 1.413, forward nfe 72, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8162, tmp_test: 0.8223, Train: 0.9571, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 6, Runtime: 0.0432, Loss: 1.222, forward nfe 88, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7949, tmp_test: 0.7919, Train: 0.9571, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 7, Runtime: 0.0435, Loss: 1.091, forward nfe 104, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7537, tmp_test: 0.7655, Train: 0.9571, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 8, Runtime: 0.0487, Loss: 1.028, forward nfe 120, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7346, tmp_test: 0.7411, Train: 0.9571, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 9, Runtime: 0.0481, Loss: 0.889, forward nfe 136, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7456, tmp_test: 0.7452, Train: 0.9571, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 10, Runtime: 0.0438, Loss: 0.794, forward nfe 152, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7787, tmp_test: 0.7766, Train: 0.9571, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 11, Runtime: 0.0431, Loss: 0.899, forward nfe 168, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8000, tmp_test: 0.8000, Train: 0.9571, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 12, Runtime: 0.0486, Loss: 0.951, forward nfe 184, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8140, tmp_test: 0.8122, Train: 0.9571, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 13, Runtime: 0.0430, Loss: 0.795, forward nfe 200, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8221, tmp_test: 0.8102, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
Epoch: 14, Runtime: 0.0460, Loss: 0.777, forward nfe 216, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8213, tmp_test: 0.8091, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
Epoch: 15, Runtime: 0.0514, Loss: 0.793, forward nfe 232, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8125, tmp_test: 0.8030, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
Epoch: 16, Runtime: 0.0467, Loss: 0.660, forward nfe 248, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8103, tmp_test: 0.7980, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
Epoch: 17, Runtime: 0.0450, Loss: 0.741, forward nfe 264, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.8020, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
Epoch: 18, Runtime: 0.0465, Loss: 0.666, forward nfe 280, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.7929, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
Epoch: 19, Runtime: 0.0480, Loss: 0.699, forward nfe 296, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7959, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
Epoch: 20, Runtime: 0.0431, Loss: 0.762, forward nfe 312, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.7929, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
Epoch: 21, Runtime: 0.0415, Loss: 0.727, forward nfe 328, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.7949, Train: 1.0000, Val: 0.8221, Test: 0.8102, Best time: 2.3600
