/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.19, 'augment': False, 'method': 'rk4', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 128])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.9614, Loss: 1.944, forward nfe 20, backward nfe 0, tmp_train: 0.4714, tmp_val: 0.4015, tmp_test: 0.4223, Train: 0.4714, Val: 0.4015, Test: 0.4223, Best time: 2.1900
Epoch: 2, Runtime: 0.1035, Loss: 1.845, forward nfe 60, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.6059, tmp_test: 0.6640, Train: 0.7857, Val: 0.6059, Test: 0.6640, Best time: 2.1900
Epoch: 3, Runtime: 0.1039, Loss: 1.760, forward nfe 100, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.6897, tmp_test: 0.6985, Train: 0.8357, Val: 0.6897, Test: 0.6985, Best time: 2.1900
Epoch: 4, Runtime: 0.0907, Loss: 1.624, forward nfe 140, backward nfe 0, tmp_train: 0.8429, tmp_val: 0.7250, tmp_test: 0.7289, Train: 0.8429, Val: 0.7250, Test: 0.7289, Best time: 2.1900
Epoch: 5, Runtime: 0.0976, Loss: 1.434, forward nfe 180, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7713, tmp_test: 0.7604, Train: 0.9286, Val: 0.7713, Test: 0.7604, Best time: 2.1900
Epoch: 6, Runtime: 0.0968, Loss: 1.246, forward nfe 220, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7860, tmp_test: 0.7777, Train: 0.9714, Val: 0.7860, Test: 0.7777, Best time: 2.1900
Epoch: 7, Runtime: 0.1123, Loss: 1.166, forward nfe 260, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8000, tmp_test: 0.7970, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 8, Runtime: 0.0914, Loss: 1.110, forward nfe 300, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7993, tmp_test: 0.8112, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 9, Runtime: 0.1146, Loss: 1.034, forward nfe 340, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7963, tmp_test: 0.8122, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 10, Runtime: 0.0880, Loss: 0.828, forward nfe 380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.7980, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 11, Runtime: 0.1067, Loss: 0.941, forward nfe 420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7684, tmp_test: 0.7909, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 12, Runtime: 0.0921, Loss: 0.912, forward nfe 460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7640, tmp_test: 0.7797, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 13, Runtime: 0.1035, Loss: 0.824, forward nfe 500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7654, tmp_test: 0.7909, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 14, Runtime: 0.0919, Loss: 0.837, forward nfe 540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.8000, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 15, Runtime: 0.0997, Loss: 0.790, forward nfe 580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.8010, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 16, Runtime: 0.0981, Loss: 0.779, forward nfe 620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.8020, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 17, Runtime: 0.1039, Loss: 0.719, forward nfe 660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.7959, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 18, Runtime: 0.1003, Loss: 0.739, forward nfe 700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7990, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 19, Runtime: 0.1003, Loss: 0.652, forward nfe 740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7949, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 20, Runtime: 0.1022, Loss: 0.757, forward nfe 780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7949, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 21, Runtime: 0.1016, Loss: 0.711, forward nfe 820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7929, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 22, Runtime: 0.0987, Loss: 0.636, forward nfe 860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7632, tmp_test: 0.7838, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 23, Runtime: 0.1026, Loss: 0.741, forward nfe 900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7588, tmp_test: 0.7827, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 24, Runtime: 0.0887, Loss: 0.715, forward nfe 940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7647, tmp_test: 0.7898, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 25, Runtime: 0.1051, Loss: 0.712, forward nfe 980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7949, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
Epoch: 26, Runtime: 0.0963, Loss: 0.652, forward nfe 1020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7990, Train: 0.9786, Val: 0.8000, Test: 0.7970, Best time: 2.1900
