
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.22, 'augment': False, 'method': 'euler', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1379, Loss: 1.952, forward nfe 6, backward nfe 0, tmp_train: 0.4571, tmp_val: 0.2890, tmp_test: 0.2761, Train: 0.4571, Val: 0.2890, Test: 0.2761, Best time: 2.2200
Epoch: 2, Runtime: 0.7339, Loss: 1.895, forward nfe 18, backward nfe 0, tmp_train: 0.6071, tmp_val: 0.2978, tmp_test: 0.3360, Train: 0.6071, Val: 0.2978, Test: 0.3360, Best time: 2.2200
Epoch: 3, Runtime: 1.4134, Loss: 1.803, forward nfe 30, backward nfe 0, tmp_train: 0.7000, tmp_val: 0.4397, tmp_test: 0.4711, Train: 0.7000, Val: 0.4397, Test: 0.4711, Best time: 2.2200
Epoch: 4, Runtime: 0.0696, Loss: 1.718, forward nfe 42, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.4772, tmp_test: 0.5005, Train: 0.7357, Val: 0.4772, Test: 0.5005, Best time: 2.2200
Epoch: 5, Runtime: 0.0543, Loss: 1.614, forward nfe 54, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.5779, tmp_test: 0.5766, Train: 0.8571, Val: 0.5779, Test: 0.5766, Best time: 2.2200
Epoch: 6, Runtime: 0.0422, Loss: 1.477, forward nfe 66, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.6912, tmp_test: 0.6934, Train: 0.9286, Val: 0.6912, Test: 0.6934, Best time: 2.2200
Epoch: 7, Runtime: 0.0521, Loss: 1.403, forward nfe 78, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7456, tmp_test: 0.7563, Train: 0.9357, Val: 0.7456, Test: 0.7563, Best time: 2.2200
Epoch: 8, Runtime: 0.0496, Loss: 1.361, forward nfe 90, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7721, tmp_test: 0.7756, Train: 0.9500, Val: 0.7721, Test: 0.7756, Best time: 2.2200
Epoch: 9, Runtime: 0.0714, Loss: 1.187, forward nfe 102, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7882, tmp_test: 0.7909, Train: 0.9714, Val: 0.7882, Test: 0.7909, Best time: 2.2200
Epoch: 10, Runtime: 0.0633, Loss: 1.033, forward nfe 114, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7985, tmp_test: 0.7929, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 11, Runtime: 0.0520, Loss: 1.106, forward nfe 126, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7875, tmp_test: 0.7888, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 12, Runtime: 0.0487, Loss: 0.943, forward nfe 138, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7743, tmp_test: 0.7685, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 13, Runtime: 0.0472, Loss: 1.052, forward nfe 150, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7507, tmp_test: 0.7391, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 14, Runtime: 0.0488, Loss: 0.833, forward nfe 162, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7382, tmp_test: 0.7442, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 15, Runtime: 0.0733, Loss: 0.873, forward nfe 174, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7507, tmp_test: 0.7452, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 16, Runtime: 0.0548, Loss: 0.825, forward nfe 186, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7632, tmp_test: 0.7421, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 17, Runtime: 0.0554, Loss: 0.830, forward nfe 198, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7721, tmp_test: 0.7533, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 18, Runtime: 0.0499, Loss: 0.929, forward nfe 210, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7897, tmp_test: 0.7695, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 19, Runtime: 0.0523, Loss: 0.922, forward nfe 222, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7919, tmp_test: 0.7868, Train: 0.9643, Val: 0.7985, Test: 0.7929, Best time: 2.2200
Epoch: 20, Runtime: 0.0561, Loss: 0.759, forward nfe 234, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8029, tmp_test: 0.8010, Train: 0.9929, Val: 0.8029, Test: 0.8010, Best time: 2.2200
Epoch: 21, Runtime: 0.0703, Loss: 0.735, forward nfe 246, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8074, tmp_test: 0.7970, Train: 0.9929, Val: 0.8074, Test: 0.7970, Best time: 2.2200
Epoch: 22, Runtime: 0.0528, Loss: 0.775, forward nfe 258, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.7929, Train: 0.9929, Val: 0.8074, Test: 0.7970, Best time: 2.2200
