/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.45, 'augment': False, 'method': 'rk4', 'step_size': 0.25, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gat', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.8408, Loss: 1.951, forward nfe 40, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7199, tmp_test: 0.7096, Train: 0.9429, Val: 0.7199, Test: 0.7096, Best time: 2.4500
Epoch: 2, Runtime: 0.9841, Loss: 1.717, forward nfe 120, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7632, tmp_test: 0.7604, Train: 0.9429, Val: 0.7632, Test: 0.7604, Best time: 2.4500
Epoch: 3, Runtime: 0.8998, Loss: 1.465, forward nfe 200, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7890, tmp_test: 0.7827, Train: 0.9571, Val: 0.7890, Test: 0.7827, Best time: 2.4500
Epoch: 4, Runtime: 0.9230, Loss: 1.144, forward nfe 280, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7963, tmp_test: 0.7990, Train: 0.9643, Val: 0.7963, Test: 0.7990, Best time: 2.4500
Epoch: 5, Runtime: 0.9868, Loss: 0.892, forward nfe 360, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8015, tmp_test: 0.8010, Train: 0.9786, Val: 0.8015, Test: 0.8010, Best time: 2.4500
Epoch: 6, Runtime: 0.8530, Loss: 0.646, forward nfe 440, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8081, tmp_test: 0.8030, Train: 0.9857, Val: 0.8081, Test: 0.8030, Best time: 2.4500
Epoch: 7, Runtime: 0.9830, Loss: 0.471, forward nfe 520, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8096, tmp_test: 0.8010, Train: 0.9929, Val: 0.8096, Test: 0.8010, Best time: 2.4500
Epoch: 8, Runtime: 0.8927, Loss: 0.308, forward nfe 600, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8132, tmp_test: 0.8000, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 9, Runtime: 0.9092, Loss: 0.219, forward nfe 680, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8074, tmp_test: 0.7980, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 10, Runtime: 0.9097, Loss: 0.141, forward nfe 760, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7971, tmp_test: 0.7949, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 11, Runtime: 0.9072, Loss: 0.132, forward nfe 840, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7941, tmp_test: 0.7878, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 12, Runtime: 1.0094, Loss: 0.108, forward nfe 920, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7890, tmp_test: 0.7868, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 13, Runtime: 0.8817, Loss: 0.118, forward nfe 1000, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7860, tmp_test: 0.7848, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 14, Runtime: 0.9343, Loss: 0.107, forward nfe 1080, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7838, tmp_test: 0.7807, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 15, Runtime: 0.9744, Loss: 0.094, forward nfe 1160, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7890, tmp_test: 0.7868, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 16, Runtime: 0.8769, Loss: 0.116, forward nfe 1240, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7941, tmp_test: 0.7858, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 17, Runtime: 0.8845, Loss: 0.150, forward nfe 1320, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7706, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 18, Runtime: 0.9157, Loss: 0.151, forward nfe 1400, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7706, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 19, Runtime: 0.9277, Loss: 0.173, forward nfe 1480, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7817, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 20, Runtime: 0.8986, Loss: 0.145, forward nfe 1560, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7827, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 21, Runtime: 0.8583, Loss: 0.165, forward nfe 1640, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7772, tmp_test: 0.7817, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 22, Runtime: 0.9444, Loss: 0.227, forward nfe 1720, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7779, tmp_test: 0.7766, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
Epoch: 23, Runtime: 0.9351, Loss: 0.199, forward nfe 1800, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7743, tmp_test: 0.7817, Train: 0.9929, Val: 0.8132, Test: 0.8000, Best time: 2.4500
