
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.43, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.1677, Loss: 1.975, forward nfe 6, backward nfe 0, tmp_train: 0.1643, tmp_val: 0.1779, tmp_test: 0.1817, Train: 0.1643, Val: 0.1779, Test: 0.1817, Best time: 2.4300
Epoch: 2, Runtime: 0.7259, Loss: 1.922, forward nfe 18, backward nfe 0, tmp_train: 0.3500, tmp_val: 0.3154, tmp_test: 0.3218, Train: 0.3500, Val: 0.3154, Test: 0.3218, Best time: 2.4300
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.3990, Loss: 1.936, forward nfe 30, backward nfe 0, tmp_train: 0.5214, tmp_val: 0.4346, tmp_test: 0.4406, Train: 0.5214, Val: 0.4346, Test: 0.4406, Best time: 2.4300
Epoch: 4, Runtime: 0.0507, Loss: 1.882, forward nfe 42, backward nfe 0, tmp_train: 0.7429, tmp_val: 0.5522, tmp_test: 0.5736, Train: 0.7429, Val: 0.5522, Test: 0.5736, Best time: 2.4300
Epoch: 5, Runtime: 0.0479, Loss: 1.852, forward nfe 54, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.6154, tmp_test: 0.6396, Train: 0.8071, Val: 0.6154, Test: 0.6396, Best time: 2.4300
Epoch: 6, Runtime: 0.0562, Loss: 1.852, forward nfe 66, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.6147, tmp_test: 0.6223, Train: 0.8071, Val: 0.6154, Test: 0.6396, Best time: 2.4300
Epoch: 7, Runtime: 0.0545, Loss: 1.808, forward nfe 78, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.6007, tmp_test: 0.6142, Train: 0.8071, Val: 0.6154, Test: 0.6396, Best time: 2.4300
Epoch: 8, Runtime: 0.0491, Loss: 1.779, forward nfe 90, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.5919, tmp_test: 0.6193, Train: 0.8071, Val: 0.6154, Test: 0.6396, Best time: 2.4300
Epoch: 9, Runtime: 0.0845, Loss: 1.776, forward nfe 102, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.6140, tmp_test: 0.6376, Train: 0.8071, Val: 0.6154, Test: 0.6396, Best time: 2.4300
Epoch: 10, Runtime: 0.0727, Loss: 1.760, forward nfe 114, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.6346, tmp_test: 0.6589, Train: 0.8357, Val: 0.6346, Test: 0.6589, Best time: 2.4300
Epoch: 11, Runtime: 0.0595, Loss: 1.716, forward nfe 126, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.6544, tmp_test: 0.6772, Train: 0.8500, Val: 0.6544, Test: 0.6772, Best time: 2.4300
Epoch: 12, Runtime: 0.0627, Loss: 1.681, forward nfe 138, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6625, tmp_test: 0.6731, Train: 0.8571, Val: 0.6625, Test: 0.6731, Best time: 2.4300
Epoch: 13, Runtime: 0.0555, Loss: 1.691, forward nfe 150, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6750, tmp_test: 0.6964, Train: 0.8571, Val: 0.6750, Test: 0.6964, Best time: 2.4300
Epoch: 14, Runtime: 0.0556, Loss: 1.582, forward nfe 162, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.7081, tmp_test: 0.7046, Train: 0.8857, Val: 0.7081, Test: 0.7046, Best time: 2.4300
Epoch: 15, Runtime: 0.0970, Loss: 1.567, forward nfe 174, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.7250, tmp_test: 0.7279, Train: 0.9000, Val: 0.7250, Test: 0.7279, Best time: 2.4300
Epoch: 16, Runtime: 0.0573, Loss: 1.545, forward nfe 186, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7441, tmp_test: 0.7452, Train: 0.9071, Val: 0.7441, Test: 0.7452, Best time: 2.4300
Epoch: 17, Runtime: 0.0497, Loss: 1.534, forward nfe 198, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7662, tmp_test: 0.7543, Train: 0.9143, Val: 0.7662, Test: 0.7543, Best time: 2.4300
Epoch: 18, Runtime: 0.0531, Loss: 1.455, forward nfe 210, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7779, tmp_test: 0.7685, Train: 0.9286, Val: 0.7779, Test: 0.7685, Best time: 2.4300
Epoch: 19, Runtime: 0.0577, Loss: 1.463, forward nfe 222, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7831, tmp_test: 0.7706, Train: 0.9357, Val: 0.7831, Test: 0.7706, Best time: 2.4300
Epoch: 20, Runtime: 0.0480, Loss: 1.488, forward nfe 234, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7875, tmp_test: 0.7736, Train: 0.9571, Val: 0.7875, Test: 0.7736, Best time: 2.4300
Epoch: 21, Runtime: 0.0480, Loss: 1.463, forward nfe 246, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7846, tmp_test: 0.7695, Train: 0.9571, Val: 0.7875, Test: 0.7736, Best time: 2.4300
