/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.09, 'augment': False, 'method': 'euler', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m11.weight
torch.Size([64, 64])
m11.bias
torch.Size([64])
m12.weight
torch.Size([64, 64])
m12.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 1.0883, Loss: 1.973, forward nfe 11, backward nfe 0, tmp_train: 0.2500, tmp_val: 0.2191, tmp_test: 0.2345, Train: 0.2500, Val: 0.2191, Test: 0.2345, Best time: 2.0900
Epoch: 2, Runtime: 0.1119, Loss: 1.969, forward nfe 33, backward nfe 0, tmp_train: 0.3071, tmp_val: 0.2581, tmp_test: 0.2792, Train: 0.3071, Val: 0.2581, Test: 0.2792, Best time: 2.0900
Epoch: 3, Runtime: 0.0860, Loss: 1.922, forward nfe 55, backward nfe 0, tmp_train: 0.4786, tmp_val: 0.2787, tmp_test: 0.3046, Train: 0.4786, Val: 0.2787, Test: 0.3046, Best time: 2.0900
Epoch: 4, Runtime: 0.0830, Loss: 1.911, forward nfe 77, backward nfe 0, tmp_train: 0.4214, tmp_val: 0.2228, tmp_test: 0.2538, Train: 0.4786, Val: 0.2787, Test: 0.3046, Best time: 2.0900
Epoch: 5, Runtime: 0.0849, Loss: 1.934, forward nfe 99, backward nfe 0, tmp_train: 0.4143, tmp_val: 0.2353, tmp_test: 0.2619, Train: 0.4786, Val: 0.2787, Test: 0.3046, Best time: 2.0900
Epoch: 6, Runtime: 0.0778, Loss: 1.874, forward nfe 121, backward nfe 0, tmp_train: 0.4214, tmp_val: 0.2199, tmp_test: 0.2518, Train: 0.4786, Val: 0.2787, Test: 0.3046, Best time: 2.0900
Epoch: 7, Runtime: 0.0880, Loss: 1.900, forward nfe 143, backward nfe 0, tmp_train: 0.4929, tmp_val: 0.2721, tmp_test: 0.3107, Train: 0.4786, Val: 0.2787, Test: 0.3046, Best time: 2.0900
Epoch: 8, Runtime: 0.1024, Loss: 1.862, forward nfe 165, backward nfe 0, tmp_train: 0.5500, tmp_val: 0.3838, tmp_test: 0.4132, Train: 0.5500, Val: 0.3838, Test: 0.4132, Best time: 2.0900
Epoch: 9, Runtime: 0.0900, Loss: 1.851, forward nfe 187, backward nfe 0, tmp_train: 0.7214, tmp_val: 0.5103, tmp_test: 0.5635, Train: 0.7214, Val: 0.5103, Test: 0.5635, Best time: 2.0900
Epoch: 10, Runtime: 0.0890, Loss: 1.825, forward nfe 209, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.5919, tmp_test: 0.6213, Train: 0.7857, Val: 0.5919, Test: 0.6213, Best time: 2.0900
Epoch: 11, Runtime: 0.0782, Loss: 1.780, forward nfe 231, backward nfe 0, tmp_train: 0.8429, tmp_val: 0.6243, tmp_test: 0.6579, Train: 0.8429, Val: 0.6243, Test: 0.6579, Best time: 2.0900
Epoch: 12, Runtime: 0.0936, Loss: 1.773, forward nfe 253, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.6081, tmp_test: 0.6162, Train: 0.8429, Val: 0.6243, Test: 0.6579, Best time: 2.0900
Epoch: 13, Runtime: 0.0918, Loss: 1.723, forward nfe 275, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.5757, tmp_test: 0.5939, Train: 0.8429, Val: 0.6243, Test: 0.6579, Best time: 2.0900
Epoch: 14, Runtime: 0.1069, Loss: 1.669, forward nfe 297, backward nfe 0, tmp_train: 0.7786, tmp_val: 0.5596, tmp_test: 0.5766, Train: 0.8429, Val: 0.6243, Test: 0.6579, Best time: 2.0900
Epoch: 15, Runtime: 0.0820, Loss: 1.658, forward nfe 319, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.6074, tmp_test: 0.6142, Train: 0.8429, Val: 0.6243, Test: 0.6579, Best time: 2.0900
Epoch: 16, Runtime: 0.0849, Loss: 1.561, forward nfe 341, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.6346, tmp_test: 0.6497, Train: 0.8500, Val: 0.6346, Test: 0.6497, Best time: 2.0900
Epoch: 17, Runtime: 0.0887, Loss: 1.516, forward nfe 363, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6375, tmp_test: 0.6487, Train: 0.8786, Val: 0.6375, Test: 0.6487, Best time: 2.0900
Epoch: 18, Runtime: 0.0808, Loss: 1.546, forward nfe 385, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6382, tmp_test: 0.6386, Train: 0.8714, Val: 0.6382, Test: 0.6386, Best time: 2.0900
Epoch: 19, Runtime: 0.1168, Loss: 1.399, forward nfe 407, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6360, tmp_test: 0.6406, Train: 0.8714, Val: 0.6382, Test: 0.6386, Best time: 2.0900
Epoch: 20, Runtime: 0.0842, Loss: 1.349, forward nfe 429, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6478, tmp_test: 0.6467, Train: 0.8714, Val: 0.6478, Test: 0.6467, Best time: 2.0900
Epoch: 21, Runtime: 0.0862, Loss: 1.393, forward nfe 451, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.6485, tmp_test: 0.6406, Train: 0.8643, Val: 0.6485, Test: 0.6406, Best time: 2.0900
Epoch: 22, Runtime: 0.0809, Loss: 1.208, forward nfe 473, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6529, tmp_test: 0.6437, Train: 0.8929, Val: 0.6529, Test: 0.6437, Best time: 2.0900
Epoch: 23, Runtime: 0.0840, Loss: 1.250, forward nfe 495, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.6706, tmp_test: 0.6640, Train: 0.9000, Val: 0.6706, Test: 0.6640, Best time: 2.0900
Epoch: 24, Runtime: 0.0992, Loss: 1.082, forward nfe 517, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6993, tmp_test: 0.6934, Train: 0.9143, Val: 0.6993, Test: 0.6934, Best time: 2.0900
Epoch: 25, Runtime: 0.0877, Loss: 1.280, forward nfe 539, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7301, tmp_test: 0.7340, Train: 0.9214, Val: 0.7301, Test: 0.7340, Best time: 2.0900
