
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.12, 'augment': False, 'method': 'euler', 'step_size': 0.1, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.2382, Loss: 1.957, forward nfe 22, backward nfe 0, tmp_train: 0.2500, tmp_val: 0.1588, tmp_test: 0.1503, Train: 0.2500, Val: 0.1588, Test: 0.1503, Best time: 2.1200
Epoch: 2, Runtime: 0.8215, Loss: 1.890, forward nfe 66, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.5515, tmp_test: 0.5442, Train: 0.7357, Val: 0.5515, Test: 0.5442, Best time: 2.1200
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.4725, Loss: 1.815, forward nfe 110, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7287, tmp_test: 0.7330, Train: 0.9214, Val: 0.7287, Test: 0.7330, Best time: 2.1200
Epoch: 4, Runtime: 0.1188, Loss: 1.670, forward nfe 154, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.6441, tmp_test: 0.6802, Train: 0.9214, Val: 0.7287, Test: 0.7330, Best time: 2.1200
Epoch: 5, Runtime: 0.1327, Loss: 1.416, forward nfe 198, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6904, tmp_test: 0.6964, Train: 0.9214, Val: 0.7287, Test: 0.7330, Best time: 2.1200
Epoch: 6, Runtime: 0.1385, Loss: 1.027, forward nfe 242, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7493, tmp_test: 0.7624, Train: 0.9357, Val: 0.7493, Test: 0.7624, Best time: 2.1200
Epoch: 7, Runtime: 0.1360, Loss: 0.795, forward nfe 286, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7221, tmp_test: 0.7147, Train: 0.9357, Val: 0.7493, Test: 0.7624, Best time: 2.1200
Epoch: 8, Runtime: 0.1250, Loss: 0.766, forward nfe 330, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.6904, tmp_test: 0.6995, Train: 0.9357, Val: 0.7493, Test: 0.7624, Best time: 2.1200
Epoch: 9, Runtime: 0.1342, Loss: 0.511, forward nfe 374, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7684, tmp_test: 0.7482, Train: 0.9857, Val: 0.7684, Test: 0.7482, Best time: 2.1200
Epoch: 10, Runtime: 0.1330, Loss: 0.332, forward nfe 418, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7963, tmp_test: 0.7909, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 11, Runtime: 0.1227, Loss: 0.378, forward nfe 462, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7596, tmp_test: 0.7574, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 12, Runtime: 0.1257, Loss: 0.273, forward nfe 506, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7324, tmp_test: 0.7320, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 13, Runtime: 0.1591, Loss: 0.303, forward nfe 550, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7746, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 14, Runtime: 0.1235, Loss: 0.251, forward nfe 594, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7625, tmp_test: 0.7614, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 15, Runtime: 0.1342, Loss: 0.147, forward nfe 638, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7301, tmp_test: 0.7360, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 16, Runtime: 0.1173, Loss: 0.419, forward nfe 682, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7404, tmp_test: 0.7421, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 17, Runtime: 0.1387, Loss: 0.218, forward nfe 726, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7588, tmp_test: 0.7635, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 18, Runtime: 0.1292, Loss: 0.225, forward nfe 770, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7574, tmp_test: 0.7695, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 19, Runtime: 0.1224, Loss: 0.176, forward nfe 814, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7566, tmp_test: 0.7543, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 20, Runtime: 0.1303, Loss: 0.228, forward nfe 858, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7471, tmp_test: 0.7492, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
Epoch: 21, Runtime: 0.1397, Loss: 0.113, forward nfe 902, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7272, tmp_test: 0.7279, Train: 0.9857, Val: 0.7963, Test: 0.7909, Best time: 2.1200
