
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.45, 'augment': False, 'method': 'euler', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.weight
torch.Size([7, 32])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 32])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.1860, Loss: 1.968, forward nfe 13, backward nfe 0, tmp_train: 0.2071, tmp_val: 0.2132, tmp_test: 0.2020, Train: 0.2071, Val: 0.2132, Test: 0.2020, Best time: 2.4500
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.8108, Loss: 1.925, forward nfe 39, backward nfe 0, tmp_train: 0.4357, tmp_val: 0.3493, tmp_test: 0.3391, Train: 0.4357, Val: 0.3493, Test: 0.3391, Best time: 2.4500
Epoch: 3, Runtime: 1.4800, Loss: 1.911, forward nfe 65, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.5235, tmp_test: 0.5066, Train: 0.6929, Val: 0.5235, Test: 0.5066, Best time: 2.4500
Epoch: 4, Runtime: 0.1010, Loss: 1.861, forward nfe 91, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.5596, tmp_test: 0.5513, Train: 0.7714, Val: 0.5596, Test: 0.5513, Best time: 2.4500
Epoch: 5, Runtime: 0.0963, Loss: 1.767, forward nfe 117, backward nfe 0, tmp_train: 0.7643, tmp_val: 0.4875, tmp_test: 0.5066, Train: 0.7714, Val: 0.5596, Test: 0.5513, Best time: 2.4500
Epoch: 6, Runtime: 0.0954, Loss: 1.772, forward nfe 143, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.4868, tmp_test: 0.5208, Train: 0.7714, Val: 0.5596, Test: 0.5513, Best time: 2.4500
Epoch: 7, Runtime: 0.1039, Loss: 1.612, forward nfe 169, backward nfe 0, tmp_train: 0.8429, tmp_val: 0.5103, tmp_test: 0.5381, Train: 0.7714, Val: 0.5596, Test: 0.5513, Best time: 2.4500
Epoch: 8, Runtime: 0.1150, Loss: 1.598, forward nfe 195, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.5699, tmp_test: 0.5838, Train: 0.8857, Val: 0.5699, Test: 0.5838, Best time: 2.4500
Epoch: 9, Runtime: 0.1197, Loss: 1.436, forward nfe 221, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.6169, tmp_test: 0.6010, Train: 0.9214, Val: 0.6169, Test: 0.6010, Best time: 2.4500
Epoch: 10, Runtime: 0.1087, Loss: 1.234, forward nfe 247, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.6728, tmp_test: 0.6589, Train: 0.9429, Val: 0.6728, Test: 0.6589, Best time: 2.4500
Epoch: 11, Runtime: 0.1011, Loss: 1.114, forward nfe 273, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7331, tmp_test: 0.7107, Train: 0.9786, Val: 0.7331, Test: 0.7107, Best time: 2.4500
Epoch: 12, Runtime: 0.1059, Loss: 1.061, forward nfe 299, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7772, tmp_test: 0.7553, Train: 0.9857, Val: 0.7772, Test: 0.7553, Best time: 2.4500
Epoch: 13, Runtime: 0.1181, Loss: 0.894, forward nfe 325, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7838, tmp_test: 0.7736, Train: 0.9786, Val: 0.7838, Test: 0.7736, Best time: 2.4500
Epoch: 14, Runtime: 0.1085, Loss: 0.826, forward nfe 351, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7654, tmp_test: 0.7513, Train: 0.9786, Val: 0.7838, Test: 0.7736, Best time: 2.4500
Epoch: 15, Runtime: 0.0952, Loss: 0.865, forward nfe 377, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7743, tmp_test: 0.7492, Train: 0.9786, Val: 0.7838, Test: 0.7736, Best time: 2.4500
Epoch: 16, Runtime: 0.1026, Loss: 0.713, forward nfe 403, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7816, tmp_test: 0.7553, Train: 0.9786, Val: 0.7838, Test: 0.7736, Best time: 2.4500
Epoch: 17, Runtime: 0.0910, Loss: 0.758, forward nfe 429, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7846, tmp_test: 0.7513, Train: 0.9929, Val: 0.7846, Test: 0.7513, Best time: 2.4500
Epoch: 18, Runtime: 0.1155, Loss: 0.695, forward nfe 455, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7816, tmp_test: 0.7431, Train: 0.9929, Val: 0.7846, Test: 0.7513, Best time: 2.4500
Epoch: 19, Runtime: 0.1080, Loss: 0.646, forward nfe 481, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7824, tmp_test: 0.7574, Train: 0.9929, Val: 0.7846, Test: 0.7513, Best time: 2.4500
Epoch: 20, Runtime: 0.0990, Loss: 0.514, forward nfe 507, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7831, tmp_test: 0.7695, Train: 0.9929, Val: 0.7846, Test: 0.7513, Best time: 2.4500
Epoch: 21, Runtime: 0.1013, Loss: 0.660, forward nfe 533, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7971, tmp_test: 0.7807, Train: 0.9929, Val: 0.7971, Test: 0.7807, Best time: 2.4500
