
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.04, 'augment': False, 'method': 'euler', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m11.weight
torch.Size([64, 64])
m11.bias
torch.Size([64])
m12.weight
torch.Size([64, 64])
m12.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.1650, Loss: 1.977, forward nfe 6, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.0456, tmp_test: 0.0508, Train: 0.1429, Val: 0.0456, Test: 0.0508, Best time: 2.0400
Epoch: 2, Runtime: 0.7611, Loss: 1.985, forward nfe 18, backward nfe 0, tmp_train: 0.1643, tmp_val: 0.0603, tmp_test: 0.0690, Train: 0.1643, Val: 0.0603, Test: 0.0690, Best time: 2.0400
Epoch: 3, Runtime: 1.3991, Loss: 1.933, forward nfe 30, backward nfe 0, tmp_train: 0.4071, tmp_val: 0.2375, tmp_test: 0.2569, Train: 0.4071, Val: 0.2375, Test: 0.2569, Best time: 2.0400
Epoch: 4, Runtime: 0.1274, Loss: 1.924, forward nfe 42, backward nfe 0, tmp_train: 0.5214, tmp_val: 0.3375, tmp_test: 0.3442, Train: 0.5214, Val: 0.3375, Test: 0.3442, Best time: 2.0400
Epoch: 5, Runtime: 0.1012, Loss: 1.909, forward nfe 54, backward nfe 0, tmp_train: 0.5357, tmp_val: 0.4022, tmp_test: 0.4102, Train: 0.5357, Val: 0.4022, Test: 0.4102, Best time: 2.0400
Epoch: 6, Runtime: 0.0842, Loss: 1.905, forward nfe 66, backward nfe 0, tmp_train: 0.6000, tmp_val: 0.4713, tmp_test: 0.4843, Train: 0.6000, Val: 0.4713, Test: 0.4843, Best time: 2.0400
Epoch: 7, Runtime: 0.1002, Loss: 1.878, forward nfe 78, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.5309, tmp_test: 0.5411, Train: 0.6929, Val: 0.5309, Test: 0.5411, Best time: 2.0400
Epoch: 8, Runtime: 0.0766, Loss: 1.835, forward nfe 90, backward nfe 0, tmp_train: 0.7000, tmp_val: 0.5301, tmp_test: 0.5624, Train: 0.6929, Val: 0.5309, Test: 0.5411, Best time: 2.0400
Epoch: 9, Runtime: 0.0916, Loss: 1.911, forward nfe 102, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.4956, tmp_test: 0.5168, Train: 0.6929, Val: 0.5309, Test: 0.5411, Best time: 2.0400
Epoch: 10, Runtime: 0.0870, Loss: 1.838, forward nfe 114, backward nfe 0, tmp_train: 0.7143, tmp_val: 0.5353, tmp_test: 0.5371, Train: 0.7143, Val: 0.5353, Test: 0.5371, Best time: 2.0400
Epoch: 11, Runtime: 0.1089, Loss: 1.784, forward nfe 126, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.5316, tmp_test: 0.5259, Train: 0.7143, Val: 0.5353, Test: 0.5371, Best time: 2.0400
Epoch: 12, Runtime: 0.0894, Loss: 1.751, forward nfe 138, backward nfe 0, tmp_train: 0.6643, tmp_val: 0.5081, tmp_test: 0.5127, Train: 0.7143, Val: 0.5353, Test: 0.5371, Best time: 2.0400
Epoch: 13, Runtime: 0.0915, Loss: 1.731, forward nfe 150, backward nfe 0, tmp_train: 0.6571, tmp_val: 0.4985, tmp_test: 0.4924, Train: 0.7143, Val: 0.5353, Test: 0.5371, Best time: 2.0400
Epoch: 14, Runtime: 0.0912, Loss: 1.604, forward nfe 162, backward nfe 0, tmp_train: 0.6714, tmp_val: 0.5221, tmp_test: 0.5208, Train: 0.7143, Val: 0.5353, Test: 0.5371, Best time: 2.0400
Epoch: 15, Runtime: 0.0739, Loss: 1.674, forward nfe 174, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.5449, tmp_test: 0.5492, Train: 0.6929, Val: 0.5449, Test: 0.5492, Best time: 2.0400
Epoch: 16, Runtime: 0.1044, Loss: 1.427, forward nfe 186, backward nfe 0, tmp_train: 0.7214, tmp_val: 0.5478, tmp_test: 0.5553, Train: 0.7214, Val: 0.5478, Test: 0.5553, Best time: 2.0400
Epoch: 17, Runtime: 0.0575, Loss: 1.531, forward nfe 198, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.5559, tmp_test: 0.5614, Train: 0.7357, Val: 0.5559, Test: 0.5614, Best time: 2.0400
Epoch: 18, Runtime: 0.1394, Loss: 1.450, forward nfe 210, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.5772, tmp_test: 0.5827, Train: 0.7357, Val: 0.5772, Test: 0.5827, Best time: 2.0400
Epoch: 19, Runtime: 0.0659, Loss: 1.434, forward nfe 222, backward nfe 0, tmp_train: 0.8000, tmp_val: 0.5926, tmp_test: 0.5959, Train: 0.8000, Val: 0.5926, Test: 0.5959, Best time: 2.0400
Epoch: 20, Runtime: 0.1067, Loss: 1.424, forward nfe 234, backward nfe 0, tmp_train: 0.8000, tmp_val: 0.6051, tmp_test: 0.6152, Train: 0.8000, Val: 0.6051, Test: 0.6152, Best time: 2.0400
Epoch: 21, Runtime: 0.0711, Loss: 1.356, forward nfe 246, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.6441, tmp_test: 0.6629, Train: 0.8643, Val: 0.6441, Test: 0.6629, Best time: 2.0400
Epoch: 22, Runtime: 0.0940, Loss: 1.489, forward nfe 258, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6618, tmp_test: 0.6782, Train: 0.8786, Val: 0.6618, Test: 0.6782, Best time: 2.0400
Epoch: 23, Runtime: 0.1037, Loss: 1.329, forward nfe 270, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6912, tmp_test: 0.7066, Train: 0.9143, Val: 0.6912, Test: 0.7066, Best time: 2.0400
Epoch: 24, Runtime: 0.0842, Loss: 1.322, forward nfe 282, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7162, tmp_test: 0.7279, Train: 0.9071, Val: 0.7162, Test: 0.7279, Best time: 2.0400
Epoch: 25, Runtime: 0.1039, Loss: 1.195, forward nfe 294, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7301, tmp_test: 0.7269, Train: 0.9357, Val: 0.7301, Test: 0.7269, Best time: 2.0400
Epoch: 26, Runtime: 0.0760, Loss: 1.289, forward nfe 306, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7360, tmp_test: 0.7330, Train: 0.9643, Val: 0.7360, Test: 0.7330, Best time: 2.0400
Epoch: 27, Runtime: 0.0880, Loss: 1.333, forward nfe 318, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7551, tmp_test: 0.7391, Train: 0.9643, Val: 0.7551, Test: 0.7391, Best time: 2.0400
Epoch: 28, Runtime: 0.0794, Loss: 1.130, forward nfe 330, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7485, tmp_test: 0.7350, Train: 0.9643, Val: 0.7551, Test: 0.7391, Best time: 2.0400
Epoch: 29, Runtime: 0.1162, Loss: 1.090, forward nfe 342, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7478, tmp_test: 0.7340, Train: 0.9643, Val: 0.7551, Test: 0.7391, Best time: 2.0400
Epoch: 30, Runtime: 0.0935, Loss: 1.089, forward nfe 354, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7662, tmp_test: 0.7492, Train: 0.9571, Val: 0.7662, Test: 0.7492, Best time: 2.0400
Epoch: 31, Runtime: 0.0987, Loss: 1.211, forward nfe 366, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7713, tmp_test: 0.7584, Train: 0.9643, Val: 0.7713, Test: 0.7584, Best time: 2.0400
Epoch: 32, Runtime: 0.1227, Loss: 1.175, forward nfe 378, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7897, tmp_test: 0.7807, Train: 0.9786, Val: 0.7897, Test: 0.7807, Best time: 2.0400
Epoch: 33, Runtime: 0.0729, Loss: 1.038, forward nfe 390, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7934, tmp_test: 0.7898, Train: 0.9857, Val: 0.7934, Test: 0.7898, Best time: 2.0400
Epoch: 34, Runtime: 0.1014, Loss: 1.218, forward nfe 402, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7993, tmp_test: 0.7909, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 35, Runtime: 0.0770, Loss: 1.123, forward nfe 414, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7956, tmp_test: 0.7777, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 36, Runtime: 0.0810, Loss: 1.001, forward nfe 426, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7926, tmp_test: 0.7766, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 37, Runtime: 0.0689, Loss: 1.100, forward nfe 438, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7816, tmp_test: 0.7817, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 38, Runtime: 0.1185, Loss: 1.150, forward nfe 450, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7728, tmp_test: 0.7787, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 39, Runtime: 0.0811, Loss: 1.021, forward nfe 462, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7713, tmp_test: 0.7766, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 40, Runtime: 0.1327, Loss: 1.035, forward nfe 474, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7919, tmp_test: 0.7898, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 41, Runtime: 0.1248, Loss: 1.148, forward nfe 486, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7868, tmp_test: 0.7909, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 42, Runtime: 0.0616, Loss: 0.976, forward nfe 498, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7993, tmp_test: 0.8051, Train: 0.9786, Val: 0.7993, Test: 0.7909, Best time: 2.0400
Epoch: 43, Runtime: 0.0920, Loss: 0.961, forward nfe 510, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8015, tmp_test: 0.8030, Train: 0.9857, Val: 0.8015, Test: 0.8030, Best time: 2.0400
Epoch: 44, Runtime: 0.0793, Loss: 1.160, forward nfe 522, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7926, tmp_test: 0.8000, Train: 0.9857, Val: 0.8015, Test: 0.8030, Best time: 2.0400
Epoch: 45, Runtime: 0.1015, Loss: 1.088, forward nfe 534, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7838, tmp_test: 0.7909, Train: 0.9857, Val: 0.8015, Test: 0.8030, Best time: 2.0400
Epoch: 46, Runtime: 0.1209, Loss: 1.033, forward nfe 546, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7662, tmp_test: 0.7766, Train: 0.9857, Val: 0.8015, Test: 0.8030, Best time: 2.0400
