
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.06, 'augment': False, 'method': 'rk4', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.3589, Loss: 1.944, forward nfe 44, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.6574, tmp_test: 0.6223, Train: 0.9429, Val: 0.6574, Test: 0.6223, Best time: 2.0600
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 1.0337, Loss: 1.791, forward nfe 132, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7390, tmp_test: 0.7218, Train: 0.9714, Val: 0.7390, Test: 0.7218, Best time: 2.0600
Epoch: 3, Runtime: 1.6258, Loss: 1.545, forward nfe 220, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7632, tmp_test: 0.7594, Train: 0.9714, Val: 0.7632, Test: 0.7594, Best time: 2.0600
Epoch: 4, Runtime: 0.3199, Loss: 1.233, forward nfe 308, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7699, tmp_test: 0.7685, Train: 0.9714, Val: 0.7699, Test: 0.7685, Best time: 2.0600
Epoch: 5, Runtime: 0.2732, Loss: 0.843, forward nfe 396, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7544, tmp_test: 0.7645, Train: 0.9714, Val: 0.7699, Test: 0.7685, Best time: 2.0600
Epoch: 6, Runtime: 0.2770, Loss: 0.527, forward nfe 484, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7632, tmp_test: 0.7777, Train: 0.9714, Val: 0.7699, Test: 0.7685, Best time: 2.0600
Epoch: 7, Runtime: 0.2425, Loss: 0.334, forward nfe 572, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7566, tmp_test: 0.7421, Train: 0.9714, Val: 0.7699, Test: 0.7685, Best time: 2.0600
Epoch: 8, Runtime: 0.2433, Loss: 0.278, forward nfe 660, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7706, tmp_test: 0.7523, Train: 0.9929, Val: 0.7706, Test: 0.7523, Best time: 2.0600
Epoch: 9, Runtime: 0.2633, Loss: 0.179, forward nfe 748, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7471, tmp_test: 0.7431, Train: 0.9929, Val: 0.7706, Test: 0.7523, Best time: 2.0600
Epoch: 10, Runtime: 0.2546, Loss: 0.136, forward nfe 836, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7691, tmp_test: 0.7594, Train: 0.9929, Val: 0.7706, Test: 0.7523, Best time: 2.0600
Epoch: 11, Runtime: 0.2321, Loss: 0.117, forward nfe 924, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7581, tmp_test: 0.7482, Train: 0.9929, Val: 0.7706, Test: 0.7523, Best time: 2.0600
Epoch: 12, Runtime: 0.2524, Loss: 0.123, forward nfe 1012, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7513, Train: 0.9929, Val: 0.7706, Test: 0.7523, Best time: 2.0600
Epoch: 13, Runtime: 0.2654, Loss: 0.081, forward nfe 1100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7640, tmp_test: 0.7462, Train: 0.9929, Val: 0.7706, Test: 0.7523, Best time: 2.0600
Epoch: 14, Runtime: 0.2394, Loss: 0.119, forward nfe 1188, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7482, Train: 1.0000, Val: 0.7728, Test: 0.7482, Best time: 2.0600
Epoch: 15, Runtime: 0.2592, Loss: 0.127, forward nfe 1276, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7655, Train: 1.0000, Val: 0.7765, Test: 0.7655, Best time: 2.0600
Epoch: 16, Runtime: 0.2501, Loss: 0.154, forward nfe 1364, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7685, Train: 1.0000, Val: 0.7838, Test: 0.7685, Best time: 2.0600
Epoch: 17, Runtime: 0.2373, Loss: 0.098, forward nfe 1452, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7777, Train: 1.0000, Val: 0.7838, Test: 0.7685, Best time: 2.0600
Epoch: 18, Runtime: 0.2395, Loss: 0.136, forward nfe 1540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7716, Train: 1.0000, Val: 0.7860, Test: 0.7716, Best time: 2.0600
Epoch: 19, Runtime: 0.2528, Loss: 0.109, forward nfe 1628, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7675, Train: 1.0000, Val: 0.7860, Test: 0.7716, Best time: 2.0600
Epoch: 20, Runtime: 0.2374, Loss: 0.170, forward nfe 1716, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7665, Train: 1.0000, Val: 0.7860, Test: 0.7716, Best time: 2.0600
