/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.37, 'augment': False, 'method': 'euler', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 128])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.1147, Loss: 1.996, forward nfe 6, backward nfe 0, tmp_train: 0.3000, tmp_val: 0.2015, tmp_test: 0.1949, Train: 0.3000, Val: 0.2015, Test: 0.1949, Best time: 2.3700
Epoch: 2, Runtime: 0.0996, Loss: 1.939, forward nfe 18, backward nfe 0, tmp_train: 0.5500, tmp_val: 0.4485, tmp_test: 0.4650, Train: 0.5500, Val: 0.4485, Test: 0.4650, Best time: 2.3700
Epoch: 3, Runtime: 0.0839, Loss: 1.920, forward nfe 30, backward nfe 0, tmp_train: 0.4286, tmp_val: 0.2316, tmp_test: 0.2670, Train: 0.5500, Val: 0.4485, Test: 0.4650, Best time: 2.3700
Epoch: 4, Runtime: 0.0512, Loss: 1.916, forward nfe 42, backward nfe 0, tmp_train: 0.4214, tmp_val: 0.2007, tmp_test: 0.2376, Train: 0.5500, Val: 0.4485, Test: 0.4650, Best time: 2.3700
Epoch: 5, Runtime: 0.0619, Loss: 1.903, forward nfe 54, backward nfe 0, tmp_train: 0.6214, tmp_val: 0.4441, tmp_test: 0.4660, Train: 0.5500, Val: 0.4485, Test: 0.4650, Best time: 2.3700
Epoch: 6, Runtime: 0.0677, Loss: 1.923, forward nfe 66, backward nfe 0, tmp_train: 0.6500, tmp_val: 0.5868, tmp_test: 0.5766, Train: 0.6500, Val: 0.5868, Test: 0.5766, Best time: 2.3700
Epoch: 7, Runtime: 0.1312, Loss: 1.789, forward nfe 78, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.6074, tmp_test: 0.5919, Train: 0.6929, Val: 0.6074, Test: 0.5919, Best time: 2.3700
Epoch: 8, Runtime: 0.0534, Loss: 1.804, forward nfe 90, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.6765, tmp_test: 0.6579, Train: 0.8071, Val: 0.6765, Test: 0.6579, Best time: 2.3700
Epoch: 9, Runtime: 0.0574, Loss: 1.774, forward nfe 102, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.7007, tmp_test: 0.6964, Train: 0.8643, Val: 0.7007, Test: 0.6964, Best time: 2.3700
Epoch: 10, Runtime: 0.0605, Loss: 1.699, forward nfe 114, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6713, tmp_test: 0.6731, Train: 0.8643, Val: 0.7007, Test: 0.6964, Best time: 2.3700
Epoch: 11, Runtime: 0.1111, Loss: 1.665, forward nfe 126, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.6684, tmp_test: 0.6741, Train: 0.8643, Val: 0.7007, Test: 0.6964, Best time: 2.3700
Epoch: 12, Runtime: 0.0691, Loss: 1.593, forward nfe 138, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.6846, tmp_test: 0.6832, Train: 0.8643, Val: 0.7007, Test: 0.6964, Best time: 2.3700
Epoch: 13, Runtime: 0.0751, Loss: 1.538, forward nfe 150, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7213, tmp_test: 0.7198, Train: 0.8786, Val: 0.7213, Test: 0.7198, Best time: 2.3700
Epoch: 14, Runtime: 0.0643, Loss: 1.360, forward nfe 162, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.7243, tmp_test: 0.7107, Train: 0.8643, Val: 0.7243, Test: 0.7107, Best time: 2.3700
Epoch: 15, Runtime: 0.1184, Loss: 1.503, forward nfe 174, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7515, tmp_test: 0.7350, Train: 0.8929, Val: 0.7515, Test: 0.7350, Best time: 2.3700
Epoch: 16, Runtime: 0.0682, Loss: 1.342, forward nfe 186, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.7654, tmp_test: 0.7472, Train: 0.9000, Val: 0.7654, Test: 0.7472, Best time: 2.3700
Epoch: 17, Runtime: 0.0558, Loss: 1.417, forward nfe 198, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7654, tmp_test: 0.7553, Train: 0.9000, Val: 0.7654, Test: 0.7472, Best time: 2.3700
Epoch: 18, Runtime: 0.0628, Loss: 1.390, forward nfe 210, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7684, tmp_test: 0.7563, Train: 0.9071, Val: 0.7684, Test: 0.7563, Best time: 2.3700
Epoch: 19, Runtime: 0.0776, Loss: 1.191, forward nfe 222, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7750, tmp_test: 0.7685, Train: 0.9286, Val: 0.7750, Test: 0.7685, Best time: 2.3700
Epoch: 20, Runtime: 0.1171, Loss: 1.202, forward nfe 234, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7566, tmp_test: 0.7624, Train: 0.9286, Val: 0.7750, Test: 0.7685, Best time: 2.3700
Epoch: 21, Runtime: 0.0603, Loss: 1.124, forward nfe 246, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7485, tmp_test: 0.7543, Train: 0.9286, Val: 0.7750, Test: 0.7685, Best time: 2.3700
Epoch: 22, Runtime: 0.0662, Loss: 1.005, forward nfe 258, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7272, tmp_test: 0.7299, Train: 0.9286, Val: 0.7750, Test: 0.7685, Best time: 2.3700
Epoch: 23, Runtime: 0.0612, Loss: 1.100, forward nfe 270, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7051, tmp_test: 0.7056, Train: 0.9286, Val: 0.7750, Test: 0.7685, Best time: 2.3700
Epoch: 24, Runtime: 0.1121, Loss: 1.172, forward nfe 282, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7426, tmp_test: 0.7574, Train: 0.9286, Val: 0.7750, Test: 0.7685, Best time: 2.3700
Epoch: 25, Runtime: 0.0708, Loss: 1.096, forward nfe 294, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7882, tmp_test: 0.8020, Train: 0.9786, Val: 0.7882, Test: 0.8020, Best time: 2.3700
