
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.15, 'augment': False, 'method': 'euler', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.2127, Loss: 1.973, forward nfe 8, backward nfe 0, tmp_train: 0.2643, tmp_val: 0.2221, tmp_test: 0.1919, Train: 0.2643, Val: 0.2221, Test: 0.1919, Best time: 2.1500
Epoch: 2, Runtime: 0.8334, Loss: 1.922, forward nfe 24, backward nfe 0, tmp_train: 0.3857, tmp_val: 0.2213, tmp_test: 0.2437, Train: 0.2643, Val: 0.2221, Test: 0.1919, Best time: 2.1500
Epoch: 3, Runtime: 1.4833, Loss: 1.921, forward nfe 40, backward nfe 0, tmp_train: 0.4571, tmp_val: 0.2963, tmp_test: 0.3056, Train: 0.4571, Val: 0.2963, Test: 0.3056, Best time: 2.1500
Epoch: 4, Runtime: 0.0974, Loss: 1.839, forward nfe 56, backward nfe 0, tmp_train: 0.6786, tmp_val: 0.4147, tmp_test: 0.4193, Train: 0.6786, Val: 0.4147, Test: 0.4193, Best time: 2.1500
Epoch: 5, Runtime: 0.1437, Loss: 1.812, forward nfe 72, backward nfe 0, tmp_train: 0.7429, tmp_val: 0.5596, tmp_test: 0.5726, Train: 0.7429, Val: 0.5596, Test: 0.5726, Best time: 2.1500
Epoch: 6, Runtime: 0.0986, Loss: 1.705, forward nfe 88, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7228, tmp_test: 0.7360, Train: 0.9071, Val: 0.7228, Test: 0.7360, Best time: 2.1500
Epoch: 7, Runtime: 0.1112, Loss: 1.533, forward nfe 104, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.5515, tmp_test: 0.5726, Train: 0.9071, Val: 0.7228, Test: 0.7360, Best time: 2.1500
Epoch: 8, Runtime: 0.1322, Loss: 1.476, forward nfe 120, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.6838, tmp_test: 0.6843, Train: 0.9071, Val: 0.7228, Test: 0.7360, Best time: 2.1500
Epoch: 9, Runtime: 0.1381, Loss: 1.224, forward nfe 136, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7662, tmp_test: 0.7584, Train: 0.9500, Val: 0.7662, Test: 0.7584, Best time: 2.1500
Epoch: 10, Runtime: 0.1265, Loss: 1.148, forward nfe 152, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7787, tmp_test: 0.7756, Train: 0.9571, Val: 0.7787, Test: 0.7756, Best time: 2.1500
Epoch: 11, Runtime: 0.1360, Loss: 1.090, forward nfe 168, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7779, tmp_test: 0.7909, Train: 0.9571, Val: 0.7787, Test: 0.7756, Best time: 2.1500
Epoch: 12, Runtime: 0.1195, Loss: 1.026, forward nfe 184, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7684, tmp_test: 0.7858, Train: 0.9571, Val: 0.7787, Test: 0.7756, Best time: 2.1500
Epoch: 13, Runtime: 0.1088, Loss: 0.823, forward nfe 200, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7654, tmp_test: 0.7878, Train: 0.9571, Val: 0.7787, Test: 0.7756, Best time: 2.1500
Epoch: 14, Runtime: 0.1240, Loss: 0.920, forward nfe 216, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7743, tmp_test: 0.7817, Train: 0.9571, Val: 0.7787, Test: 0.7756, Best time: 2.1500
Epoch: 15, Runtime: 0.1251, Loss: 0.902, forward nfe 232, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7816, tmp_test: 0.7756, Train: 0.9857, Val: 0.7816, Test: 0.7756, Best time: 2.1500
Epoch: 16, Runtime: 0.1247, Loss: 0.901, forward nfe 248, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7816, tmp_test: 0.7685, Train: 0.9857, Val: 0.7816, Test: 0.7756, Best time: 2.1500
Epoch: 17, Runtime: 0.1287, Loss: 0.796, forward nfe 264, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7772, tmp_test: 0.7685, Train: 0.9857, Val: 0.7816, Test: 0.7756, Best time: 2.1500
Epoch: 18, Runtime: 0.1173, Loss: 0.713, forward nfe 280, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7766, Train: 0.9857, Val: 0.7816, Test: 0.7756, Best time: 2.1500
Epoch: 19, Runtime: 0.1359, Loss: 0.807, forward nfe 296, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7787, Train: 1.0000, Val: 0.7824, Test: 0.7787, Best time: 2.1500
Epoch: 20, Runtime: 0.1138, Loss: 0.594, forward nfe 312, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7726, Train: 1.0000, Val: 0.7824, Test: 0.7787, Best time: 2.1500
Epoch: 21, Runtime: 0.1319, Loss: 0.791, forward nfe 328, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7574, Train: 1.0000, Val: 0.7824, Test: 0.7787, Best time: 2.1500
Epoch: 22, Runtime: 0.1096, Loss: 0.671, forward nfe 344, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7412, tmp_test: 0.7299, Train: 1.0000, Val: 0.7824, Test: 0.7787, Best time: 2.1500
Epoch: 23, Runtime: 0.1343, Loss: 0.746, forward nfe 360, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7346, tmp_test: 0.7371, Train: 1.0000, Val: 0.7824, Test: 0.7787, Best time: 2.1500
