/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.32, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gat', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 128])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.2542, Loss: 1.943, forward nfe 6, backward nfe 0, tmp_train: 0.5357, tmp_val: 0.4000, tmp_test: 0.3949, Train: 0.5357, Val: 0.4000, Test: 0.3949, Best time: 2.3200
Epoch: 2, Runtime: 0.1844, Loss: 1.873, forward nfe 18, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.6059, tmp_test: 0.6102, Train: 0.8214, Val: 0.6059, Test: 0.6102, Best time: 2.3200
Epoch: 3, Runtime: 0.1425, Loss: 1.752, forward nfe 30, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.6765, tmp_test: 0.6701, Train: 0.9000, Val: 0.6765, Test: 0.6701, Best time: 2.3200
Epoch: 4, Runtime: 0.1399, Loss: 1.552, forward nfe 42, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6794, tmp_test: 0.6711, Train: 0.9143, Val: 0.6794, Test: 0.6711, Best time: 2.3200
Epoch: 5, Runtime: 0.1931, Loss: 1.242, forward nfe 54, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7684, tmp_test: 0.7716, Train: 0.9643, Val: 0.7684, Test: 0.7716, Best time: 2.3200
Epoch: 6, Runtime: 0.1398, Loss: 0.976, forward nfe 66, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7934, tmp_test: 0.7929, Train: 0.9643, Val: 0.7934, Test: 0.7929, Best time: 2.3200
Epoch: 7, Runtime: 0.1553, Loss: 0.809, forward nfe 78, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.6971, tmp_test: 0.7046, Train: 0.9643, Val: 0.7934, Test: 0.7929, Best time: 2.3200
Epoch: 8, Runtime: 0.1460, Loss: 0.559, forward nfe 90, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7640, tmp_test: 0.7827, Train: 0.9643, Val: 0.7934, Test: 0.7929, Best time: 2.3200
Epoch: 9, Runtime: 0.1856, Loss: 0.304, forward nfe 102, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8074, tmp_test: 0.8142, Train: 1.0000, Val: 0.8074, Test: 0.8142, Best time: 2.3200
Epoch: 10, Runtime: 0.1470, Loss: 0.273, forward nfe 114, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8169, tmp_test: 0.8132, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 11, Runtime: 0.1459, Loss: 0.264, forward nfe 126, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7993, tmp_test: 0.7919, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 12, Runtime: 0.1782, Loss: 0.210, forward nfe 138, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7787, tmp_test: 0.7726, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 13, Runtime: 0.1492, Loss: 0.179, forward nfe 150, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7684, tmp_test: 0.7675, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 14, Runtime: 0.1570, Loss: 0.199, forward nfe 162, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7551, tmp_test: 0.7584, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 15, Runtime: 0.1372, Loss: 0.150, forward nfe 174, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7654, tmp_test: 0.7645, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 16, Runtime: 0.1447, Loss: 0.190, forward nfe 186, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7949, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 17, Runtime: 0.1624, Loss: 0.241, forward nfe 198, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.7878, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 18, Runtime: 0.1363, Loss: 0.181, forward nfe 210, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.7939, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 19, Runtime: 0.1823, Loss: 0.180, forward nfe 222, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7934, tmp_test: 0.8000, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 20, Runtime: 0.1559, Loss: 0.228, forward nfe 234, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7897, tmp_test: 0.8061, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 21, Runtime: 0.1298, Loss: 0.209, forward nfe 246, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7941, tmp_test: 0.8081, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 22, Runtime: 0.1969, Loss: 0.201, forward nfe 258, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7882, tmp_test: 0.7919, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 23, Runtime: 0.1665, Loss: 0.163, forward nfe 270, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7625, tmp_test: 0.7655, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
Epoch: 24, Runtime: 0.1715, Loss: 0.177, forward nfe 282, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7485, tmp_test: 0.7492, Train: 1.0000, Val: 0.8169, Test: 0.8132, Best time: 2.3200
