/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.33, 'augment': False, 'method': 'euler', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 128])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.1286, Loss: 1.935, forward nfe 6, backward nfe 0, tmp_train: 0.2071, tmp_val: 0.2199, tmp_test: 0.2122, Train: 0.2071, Val: 0.2199, Test: 0.2122, Best time: 2.3300
Epoch: 2, Runtime: 0.0848, Loss: 1.966, forward nfe 18, backward nfe 0, tmp_train: 0.2571, tmp_val: 0.1868, tmp_test: 0.1919, Train: 0.2071, Val: 0.2199, Test: 0.2122, Best time: 2.3300
Epoch: 3, Runtime: 0.0593, Loss: 1.934, forward nfe 30, backward nfe 0, tmp_train: 0.3929, tmp_val: 0.1882, tmp_test: 0.2102, Train: 0.2071, Val: 0.2199, Test: 0.2122, Best time: 2.3300
Epoch: 4, Runtime: 0.0697, Loss: 1.941, forward nfe 42, backward nfe 0, tmp_train: 0.3857, tmp_val: 0.2103, tmp_test: 0.2365, Train: 0.2071, Val: 0.2199, Test: 0.2122, Best time: 2.3300
Epoch: 5, Runtime: 0.0811, Loss: 1.931, forward nfe 54, backward nfe 0, tmp_train: 0.4857, tmp_val: 0.2691, tmp_test: 0.2934, Train: 0.4857, Val: 0.2691, Test: 0.2934, Best time: 2.3300
Epoch: 6, Runtime: 0.0748, Loss: 1.902, forward nfe 66, backward nfe 0, tmp_train: 0.4929, tmp_val: 0.3051, tmp_test: 0.2904, Train: 0.4929, Val: 0.3051, Test: 0.2904, Best time: 2.3300
Epoch: 7, Runtime: 0.0793, Loss: 1.935, forward nfe 78, backward nfe 0, tmp_train: 0.7214, tmp_val: 0.4971, tmp_test: 0.4954, Train: 0.7214, Val: 0.4971, Test: 0.4954, Best time: 2.3300
Epoch: 8, Runtime: 0.0830, Loss: 1.858, forward nfe 90, backward nfe 0, tmp_train: 0.7500, tmp_val: 0.5493, tmp_test: 0.5817, Train: 0.7500, Val: 0.5493, Test: 0.5817, Best time: 2.3300
Epoch: 9, Runtime: 0.0767, Loss: 1.853, forward nfe 102, backward nfe 0, tmp_train: 0.7429, tmp_val: 0.5426, tmp_test: 0.5848, Train: 0.7500, Val: 0.5493, Test: 0.5817, Best time: 2.3300
Epoch: 10, Runtime: 0.0885, Loss: 1.804, forward nfe 114, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.5882, tmp_test: 0.6244, Train: 0.7857, Val: 0.5882, Test: 0.6244, Best time: 2.3300
Epoch: 11, Runtime: 0.0692, Loss: 1.766, forward nfe 126, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6537, tmp_test: 0.6802, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 12, Runtime: 0.0789, Loss: 1.692, forward nfe 138, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6176, tmp_test: 0.6487, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 13, Runtime: 0.0843, Loss: 1.589, forward nfe 150, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6346, tmp_test: 0.6609, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 14, Runtime: 0.0543, Loss: 1.534, forward nfe 162, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6257, tmp_test: 0.6487, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 15, Runtime: 0.0986, Loss: 1.535, forward nfe 174, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.6346, tmp_test: 0.6437, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 16, Runtime: 0.0635, Loss: 1.497, forward nfe 186, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.5838, tmp_test: 0.6193, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 17, Runtime: 0.0722, Loss: 1.369, forward nfe 198, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.5904, tmp_test: 0.6244, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 18, Runtime: 0.0797, Loss: 1.497, forward nfe 210, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.5713, tmp_test: 0.6112, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 19, Runtime: 0.0591, Loss: 1.482, forward nfe 222, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6037, tmp_test: 0.6284, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 20, Runtime: 0.1091, Loss: 1.239, forward nfe 234, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.6515, tmp_test: 0.6619, Train: 0.8714, Val: 0.6537, Test: 0.6802, Best time: 2.3300
Epoch: 21, Runtime: 0.0671, Loss: 1.263, forward nfe 246, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7022, tmp_test: 0.7066, Train: 0.9429, Val: 0.7022, Test: 0.7066, Best time: 2.3300
Epoch: 22, Runtime: 0.0589, Loss: 1.193, forward nfe 258, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7368, tmp_test: 0.7360, Train: 0.9571, Val: 0.7368, Test: 0.7360, Best time: 2.3300
Epoch: 23, Runtime: 0.0788, Loss: 1.294, forward nfe 270, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7610, tmp_test: 0.7574, Train: 0.9500, Val: 0.7610, Test: 0.7574, Best time: 2.3300
Epoch: 24, Runtime: 0.0802, Loss: 1.180, forward nfe 282, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7765, tmp_test: 0.7645, Train: 0.9571, Val: 0.7765, Test: 0.7645, Best time: 2.3300
Epoch: 25, Runtime: 0.0830, Loss: 1.213, forward nfe 294, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7699, tmp_test: 0.7533, Train: 0.9571, Val: 0.7765, Test: 0.7645, Best time: 2.3300
Epoch: 26, Runtime: 0.0813, Loss: 1.156, forward nfe 306, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7706, tmp_test: 0.7624, Train: 0.9571, Val: 0.7765, Test: 0.7645, Best time: 2.3300
Epoch: 27, Runtime: 0.0745, Loss: 1.066, forward nfe 318, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7824, tmp_test: 0.7655, Train: 0.9714, Val: 0.7824, Test: 0.7655, Best time: 2.3300
Epoch: 28, Runtime: 0.0607, Loss: 1.130, forward nfe 330, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7824, tmp_test: 0.7787, Train: 0.9714, Val: 0.7824, Test: 0.7655, Best time: 2.3300
Epoch: 29, Runtime: 0.0911, Loss: 1.079, forward nfe 342, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7897, tmp_test: 0.7929, Train: 0.9786, Val: 0.7897, Test: 0.7929, Best time: 2.3300
Epoch: 30, Runtime: 0.0829, Loss: 1.015, forward nfe 354, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7897, tmp_test: 0.7848, Train: 0.9786, Val: 0.7897, Test: 0.7929, Best time: 2.3300
Epoch: 31, Runtime: 0.0568, Loss: 1.102, forward nfe 366, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7971, tmp_test: 0.7898, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 32, Runtime: 0.0703, Loss: 0.947, forward nfe 378, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7897, tmp_test: 0.7898, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 33, Runtime: 0.1066, Loss: 1.006, forward nfe 390, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7816, tmp_test: 0.7888, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 34, Runtime: 0.0631, Loss: 0.943, forward nfe 402, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7757, tmp_test: 0.7949, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 35, Runtime: 0.0736, Loss: 0.759, forward nfe 414, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7647, tmp_test: 0.7919, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 36, Runtime: 0.0696, Loss: 0.859, forward nfe 426, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7647, tmp_test: 0.7797, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 37, Runtime: 0.0608, Loss: 0.982, forward nfe 438, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7772, tmp_test: 0.7980, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 38, Runtime: 0.0897, Loss: 0.876, forward nfe 450, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7699, tmp_test: 0.7949, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 39, Runtime: 0.0682, Loss: 0.901, forward nfe 462, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7772, tmp_test: 0.8051, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 40, Runtime: 0.0699, Loss: 0.768, forward nfe 474, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7980, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 41, Runtime: 0.0860, Loss: 0.749, forward nfe 486, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7868, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 42, Runtime: 0.0715, Loss: 0.829, forward nfe 498, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.7980, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 43, Runtime: 0.0791, Loss: 0.908, forward nfe 510, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7875, tmp_test: 0.8102, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
Epoch: 44, Runtime: 0.0796, Loss: 0.803, forward nfe 522, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.8112, Train: 0.9857, Val: 0.7971, Test: 0.7898, Best time: 2.3300
