
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.07, 'augment': False, 'method': 'rk4', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 1, Runtime: 0.2207, Loss: 1.943, forward nfe 20, backward nfe 0, tmp_train: 0.5643, tmp_val: 0.4279, tmp_test: 0.4223, Train: 0.5643, Val: 0.4279, Test: 0.4223, Best time: 2.0700
Epoch: 2, Runtime: 0.8806, Loss: 1.869, forward nfe 60, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.5963, tmp_test: 0.5858, Train: 0.8071, Val: 0.5963, Test: 0.5858, Best time: 2.0700
Epoch: 3, Runtime: 1.5476, Loss: 1.791, forward nfe 100, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7184, tmp_test: 0.7442, Train: 0.9357, Val: 0.7184, Test: 0.7442, Best time: 2.0700
Epoch: 4, Runtime: 0.1464, Loss: 1.700, forward nfe 140, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7618, tmp_test: 0.7716, Train: 0.9571, Val: 0.7618, Test: 0.7716, Best time: 2.0700
Epoch: 5, Runtime: 0.1475, Loss: 1.603, forward nfe 180, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7728, tmp_test: 0.7736, Train: 0.9571, Val: 0.7728, Test: 0.7736, Best time: 2.0700
Epoch: 6, Runtime: 0.1605, Loss: 1.437, forward nfe 220, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7801, tmp_test: 0.7909, Train: 0.9571, Val: 0.7801, Test: 0.7909, Best time: 2.0700
Epoch: 7, Runtime: 0.1313, Loss: 1.308, forward nfe 260, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7890, tmp_test: 0.7980, Train: 0.9643, Val: 0.7890, Test: 0.7980, Best time: 2.0700
Epoch: 8, Runtime: 0.1363, Loss: 1.224, forward nfe 300, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7985, tmp_test: 0.8071, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 9, Runtime: 0.1581, Loss: 1.217, forward nfe 340, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7985, tmp_test: 0.8061, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 10, Runtime: 0.1385, Loss: 0.988, forward nfe 380, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7919, tmp_test: 0.7888, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 11, Runtime: 0.1341, Loss: 0.985, forward nfe 420, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7765, tmp_test: 0.7756, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 12, Runtime: 0.1403, Loss: 0.995, forward nfe 460, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7779, tmp_test: 0.7736, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 13, Runtime: 0.1471, Loss: 0.946, forward nfe 500, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7669, tmp_test: 0.7685, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 14, Runtime: 0.1739, Loss: 0.978, forward nfe 540, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7728, tmp_test: 0.7756, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 15, Runtime: 0.1387, Loss: 0.934, forward nfe 580, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7721, tmp_test: 0.7726, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 16, Runtime: 0.1391, Loss: 0.877, forward nfe 620, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7757, tmp_test: 0.7797, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 17, Runtime: 0.1437, Loss: 0.935, forward nfe 660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7797, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 18, Runtime: 0.1608, Loss: 0.880, forward nfe 700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7777, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 19, Runtime: 0.1467, Loss: 0.819, forward nfe 740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7777, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 20, Runtime: 0.1387, Loss: 0.996, forward nfe 780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7766, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 21, Runtime: 0.1357, Loss: 0.709, forward nfe 820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.7807, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 22, Runtime: 0.1475, Loss: 0.841, forward nfe 860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.7848, Train: 0.9714, Val: 0.7985, Test: 0.8071, Best time: 2.0700
Epoch: 23, Runtime: 0.1321, Loss: 0.814, forward nfe 900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.7888, Train: 1.0000, Val: 0.8015, Test: 0.7888, Best time: 2.0700
Epoch: 24, Runtime: 0.1477, Loss: 0.931, forward nfe 940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.7959, Train: 1.0000, Val: 0.8015, Test: 0.7888, Best time: 2.0700
Epoch: 25, Runtime: 0.1398, Loss: 0.887, forward nfe 980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8022, tmp_test: 0.8000, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 26, Runtime: 0.1304, Loss: 0.749, forward nfe 1020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.7990, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 27, Runtime: 0.1428, Loss: 0.735, forward nfe 1060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.7959, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 28, Runtime: 0.1536, Loss: 0.741, forward nfe 1100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7929, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 29, Runtime: 0.1496, Loss: 0.681, forward nfe 1140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.7939, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 30, Runtime: 0.1452, Loss: 0.863, forward nfe 1180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.7898, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 31, Runtime: 0.1376, Loss: 0.902, forward nfe 1220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.7939, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 32, Runtime: 0.1467, Loss: 0.819, forward nfe 1260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.7919, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 33, Runtime: 0.1311, Loss: 0.798, forward nfe 1300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.7878, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 34, Runtime: 0.1473, Loss: 0.720, forward nfe 1340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8007, tmp_test: 0.7919, Train: 1.0000, Val: 0.8022, Test: 0.8000, Best time: 2.0700
Epoch: 35, Runtime: 0.1631, Loss: 0.800, forward nfe 1380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8066, tmp_test: 0.7949, Train: 1.0000, Val: 0.8066, Test: 0.7949, Best time: 2.0700
Epoch: 36, Runtime: 0.1421, Loss: 0.703, forward nfe 1420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8103, tmp_test: 0.8061, Train: 1.0000, Val: 0.8103, Test: 0.8061, Best time: 2.0700
Epoch: 37, Runtime: 0.1518, Loss: 0.697, forward nfe 1460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8096, tmp_test: 0.8122, Train: 1.0000, Val: 0.8103, Test: 0.8061, Best time: 2.0700
Epoch: 38, Runtime: 0.1474, Loss: 0.736, forward nfe 1500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8074, tmp_test: 0.8152, Train: 1.0000, Val: 0.8103, Test: 0.8061, Best time: 2.0700
Epoch: 39, Runtime: 0.1468, Loss: 0.779, forward nfe 1540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8103, tmp_test: 0.8041, Train: 1.0000, Val: 0.8103, Test: 0.8061, Best time: 2.0700
Epoch: 40, Runtime: 0.1486, Loss: 0.866, forward nfe 1580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8125, tmp_test: 0.8071, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 41, Runtime: 0.1526, Loss: 0.697, forward nfe 1620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8125, tmp_test: 0.8051, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 42, Runtime: 0.1710, Loss: 0.781, forward nfe 1660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8103, tmp_test: 0.8102, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 43, Runtime: 0.1508, Loss: 0.665, forward nfe 1700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8088, tmp_test: 0.8132, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 44, Runtime: 0.1457, Loss: 0.713, forward nfe 1740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8074, tmp_test: 0.8071, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 45, Runtime: 0.1759, Loss: 0.785, forward nfe 1780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8096, tmp_test: 0.8030, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 46, Runtime: 0.1405, Loss: 0.809, forward nfe 1820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8074, tmp_test: 0.8030, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 47, Runtime: 0.1799, Loss: 0.695, forward nfe 1860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8022, tmp_test: 0.8000, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 48, Runtime: 0.1493, Loss: 0.692, forward nfe 1900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8044, tmp_test: 0.7990, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 49, Runtime: 0.1669, Loss: 0.872, forward nfe 1940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8096, tmp_test: 0.8020, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 50, Runtime: 0.1655, Loss: 0.762, forward nfe 1980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.7949, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 51, Runtime: 0.1505, Loss: 0.721, forward nfe 2020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8037, tmp_test: 0.7970, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 52, Runtime: 0.1398, Loss: 0.600, forward nfe 2060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8103, tmp_test: 0.8081, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 53, Runtime: 0.1337, Loss: 0.706, forward nfe 2100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8066, tmp_test: 0.8091, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 54, Runtime: 0.1282, Loss: 0.667, forward nfe 2140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8022, tmp_test: 0.8051, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 55, Runtime: 0.1475, Loss: 0.591, forward nfe 2180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8074, tmp_test: 0.8122, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 56, Runtime: 0.1450, Loss: 0.699, forward nfe 2220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8081, tmp_test: 0.8081, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 57, Runtime: 0.1548, Loss: 0.636, forward nfe 2260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.7980, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 58, Runtime: 0.1329, Loss: 0.703, forward nfe 2300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.7939, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 59, Runtime: 0.1407, Loss: 0.772, forward nfe 2340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.7878, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 60, Runtime: 0.1502, Loss: 0.609, forward nfe 2380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7736, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 61, Runtime: 0.1352, Loss: 0.637, forward nfe 2420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7655, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 62, Runtime: 0.1408, Loss: 0.814, forward nfe 2460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7766, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 63, Runtime: 0.1437, Loss: 0.660, forward nfe 2500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.7868, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 64, Runtime: 0.1509, Loss: 0.655, forward nfe 2540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.7929, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 65, Runtime: 0.1896, Loss: 0.605, forward nfe 2580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7985, tmp_test: 0.8061, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 66, Runtime: 0.1337, Loss: 0.688, forward nfe 2620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.8030, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 67, Runtime: 0.1536, Loss: 0.735, forward nfe 2660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.7949, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 68, Runtime: 0.1402, Loss: 0.695, forward nfe 2700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.7939, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 69, Runtime: 0.1473, Loss: 0.640, forward nfe 2740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.7909, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 70, Runtime: 0.1536, Loss: 0.700, forward nfe 2780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.7827, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 71, Runtime: 0.1460, Loss: 0.665, forward nfe 2820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7897, tmp_test: 0.7797, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 72, Runtime: 0.1368, Loss: 0.625, forward nfe 2860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7766, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 73, Runtime: 0.1356, Loss: 0.787, forward nfe 2900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7706, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 74, Runtime: 0.1251, Loss: 0.679, forward nfe 2940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7716, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 75, Runtime: 0.1349, Loss: 0.654, forward nfe 2980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7640, tmp_test: 0.7787, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 76, Runtime: 0.1317, Loss: 0.641, forward nfe 3020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7625, tmp_test: 0.7685, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 77, Runtime: 0.1357, Loss: 0.683, forward nfe 3060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7675, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 78, Runtime: 0.1691, Loss: 0.725, forward nfe 3100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7632, tmp_test: 0.7665, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 79, Runtime: 0.1593, Loss: 0.654, forward nfe 3140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7716, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 80, Runtime: 0.1403, Loss: 0.680, forward nfe 3180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7757, tmp_test: 0.7827, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 81, Runtime: 0.1532, Loss: 0.685, forward nfe 3220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7939, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 82, Runtime: 0.1483, Loss: 0.622, forward nfe 3260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7949, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 83, Runtime: 0.1466, Loss: 0.725, forward nfe 3300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7929, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 84, Runtime: 0.1452, Loss: 0.664, forward nfe 3340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7980, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 85, Runtime: 0.1383, Loss: 0.701, forward nfe 3380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7970, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 86, Runtime: 0.1249, Loss: 0.671, forward nfe 3420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7888, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 87, Runtime: 0.1369, Loss: 0.666, forward nfe 3460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7868, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 88, Runtime: 0.1389, Loss: 0.572, forward nfe 3500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.7848, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 89, Runtime: 0.1411, Loss: 0.705, forward nfe 3540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7878, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 90, Runtime: 0.1320, Loss: 0.650, forward nfe 3580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7939, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 91, Runtime: 0.1583, Loss: 0.664, forward nfe 3620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.7939, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 92, Runtime: 0.1450, Loss: 0.715, forward nfe 3660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7990, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 93, Runtime: 0.1558, Loss: 0.744, forward nfe 3700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7980, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 94, Runtime: 0.1584, Loss: 0.661, forward nfe 3740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7909, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 95, Runtime: 0.1255, Loss: 0.710, forward nfe 3780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.7959, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 96, Runtime: 0.1594, Loss: 0.699, forward nfe 3820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.7929, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
Epoch: 97, Runtime: 0.1350, Loss: 0.749, forward nfe 3860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7848, Train: 1.0000, Val: 0.8125, Test: 0.8071, Best time: 2.0700
