/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.4, 'augment': False, 'method': 'euler', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 128])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.2721, Loss: 1.948, forward nfe 8, backward nfe 0, tmp_train: 0.5143, tmp_val: 0.3581, tmp_test: 0.3766, Train: 0.5143, Val: 0.3581, Test: 0.3766, Best time: 2.4000
Epoch: 2, Runtime: 0.0885, Loss: 1.860, forward nfe 24, backward nfe 0, tmp_train: 0.8286, tmp_val: 0.7029, tmp_test: 0.7107, Train: 0.8286, Val: 0.7029, Test: 0.7107, Best time: 2.4000
Epoch: 3, Runtime: 0.0664, Loss: 1.708, forward nfe 40, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7625, tmp_test: 0.7563, Train: 0.9071, Val: 0.7625, Test: 0.7563, Best time: 2.4000
Epoch: 4, Runtime: 0.0679, Loss: 1.576, forward nfe 56, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7419, tmp_test: 0.7513, Train: 0.9071, Val: 0.7625, Test: 0.7563, Best time: 2.4000
Epoch: 5, Runtime: 0.0876, Loss: 1.482, forward nfe 72, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7588, tmp_test: 0.7492, Train: 0.9071, Val: 0.7625, Test: 0.7563, Best time: 2.4000
Epoch: 6, Runtime: 0.0835, Loss: 1.288, forward nfe 88, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7824, tmp_test: 0.7695, Train: 0.9357, Val: 0.7824, Test: 0.7695, Best time: 2.4000
Epoch: 7, Runtime: 0.0958, Loss: 1.082, forward nfe 104, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7824, tmp_test: 0.7817, Train: 0.9357, Val: 0.7824, Test: 0.7695, Best time: 2.4000
Epoch: 8, Runtime: 0.0710, Loss: 1.074, forward nfe 120, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7904, tmp_test: 0.8041, Train: 0.9571, Val: 0.7904, Test: 0.8041, Best time: 2.4000
Epoch: 9, Runtime: 0.0695, Loss: 1.020, forward nfe 136, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7941, tmp_test: 0.8020, Train: 0.9643, Val: 0.7941, Test: 0.8020, Best time: 2.4000
Epoch: 10, Runtime: 0.1100, Loss: 0.932, forward nfe 152, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7890, tmp_test: 0.8051, Train: 0.9643, Val: 0.7941, Test: 0.8020, Best time: 2.4000
Epoch: 11, Runtime: 0.0882, Loss: 0.885, forward nfe 168, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7787, tmp_test: 0.7878, Train: 0.9643, Val: 0.7941, Test: 0.8020, Best time: 2.4000
Epoch: 12, Runtime: 0.0884, Loss: 0.801, forward nfe 184, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7787, tmp_test: 0.7868, Train: 0.9643, Val: 0.7941, Test: 0.8020, Best time: 2.4000
Epoch: 13, Runtime: 0.0843, Loss: 0.804, forward nfe 200, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7838, tmp_test: 0.7909, Train: 0.9643, Val: 0.7941, Test: 0.8020, Best time: 2.4000
Epoch: 14, Runtime: 0.0889, Loss: 0.793, forward nfe 216, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7875, tmp_test: 0.7868, Train: 0.9643, Val: 0.7941, Test: 0.8020, Best time: 2.4000
Epoch: 15, Runtime: 0.0770, Loss: 0.722, forward nfe 232, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.7939, Train: 0.9643, Val: 0.7941, Test: 0.8020, Best time: 2.4000
Epoch: 16, Runtime: 0.0783, Loss: 0.747, forward nfe 248, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7912, tmp_test: 0.7970, Train: 0.9643, Val: 0.7941, Test: 0.8020, Best time: 2.4000
Epoch: 17, Runtime: 0.0819, Loss: 0.814, forward nfe 264, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7963, tmp_test: 0.7990, Train: 0.9929, Val: 0.7963, Test: 0.7990, Best time: 2.4000
Epoch: 18, Runtime: 0.0964, Loss: 0.785, forward nfe 280, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7963, tmp_test: 0.8041, Train: 0.9929, Val: 0.7963, Test: 0.7990, Best time: 2.4000
Epoch: 19, Runtime: 0.0737, Loss: 0.786, forward nfe 296, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8037, tmp_test: 0.8071, Train: 0.9929, Val: 0.8037, Test: 0.8071, Best time: 2.4000
Epoch: 20, Runtime: 0.1028, Loss: 0.760, forward nfe 312, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7978, tmp_test: 0.8071, Train: 0.9929, Val: 0.8037, Test: 0.8071, Best time: 2.4000
Epoch: 21, Runtime: 0.0667, Loss: 0.672, forward nfe 328, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7882, tmp_test: 0.7939, Train: 0.9929, Val: 0.8037, Test: 0.8071, Best time: 2.4000
Epoch: 22, Runtime: 0.0793, Loss: 0.845, forward nfe 344, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7827, Train: 0.9929, Val: 0.8037, Test: 0.8071, Best time: 2.4000
Epoch: 23, Runtime: 0.1211, Loss: 0.698, forward nfe 360, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7766, Train: 0.9929, Val: 0.8037, Test: 0.8071, Best time: 2.4000
Epoch: 24, Runtime: 0.0823, Loss: 0.728, forward nfe 376, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7797, Train: 0.9929, Val: 0.8037, Test: 0.8071, Best time: 2.4000
