
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.48, 'augment': False, 'method': 'rk4', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.3129, Loss: 1.948, forward nfe 36, backward nfe 0, tmp_train: 0.8000, tmp_val: 0.6985, tmp_test: 0.7036, Train: 0.8000, Val: 0.6985, Test: 0.7036, Best time: 2.4800
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.9334, Loss: 1.838, forward nfe 108, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7963, tmp_test: 0.7868, Train: 0.9214, Val: 0.7963, Test: 0.7868, Best time: 2.4800
Epoch: 3, Runtime: 1.6499, Loss: 1.661, forward nfe 180, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7691, tmp_test: 0.7665, Train: 0.9214, Val: 0.7963, Test: 0.7868, Best time: 2.4800
Epoch: 4, Runtime: 0.2751, Loss: 1.424, forward nfe 252, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7831, tmp_test: 0.7817, Train: 0.9214, Val: 0.7963, Test: 0.7868, Best time: 2.4800
Epoch: 5, Runtime: 0.2737, Loss: 1.203, forward nfe 324, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8000, tmp_test: 0.8091, Train: 0.9714, Val: 0.8000, Test: 0.8091, Best time: 2.4800
Epoch: 6, Runtime: 0.2704, Loss: 0.910, forward nfe 396, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8118, tmp_test: 0.8112, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 7, Runtime: 0.2623, Loss: 0.650, forward nfe 468, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8000, tmp_test: 0.7949, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 8, Runtime: 0.2617, Loss: 0.450, forward nfe 540, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8000, tmp_test: 0.7929, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 9, Runtime: 0.2587, Loss: 0.344, forward nfe 612, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7993, tmp_test: 0.7868, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 10, Runtime: 0.2587, Loss: 0.294, forward nfe 684, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7963, tmp_test: 0.7827, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 11, Runtime: 0.2700, Loss: 0.289, forward nfe 756, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.7949, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 12, Runtime: 0.2547, Loss: 0.179, forward nfe 828, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.8000, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 13, Runtime: 0.2321, Loss: 0.186, forward nfe 900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.8010, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 14, Runtime: 0.2399, Loss: 0.135, forward nfe 972, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7985, tmp_test: 0.8010, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 15, Runtime: 0.2503, Loss: 0.168, forward nfe 1044, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8000, tmp_test: 0.8041, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 16, Runtime: 0.2549, Loss: 0.167, forward nfe 1116, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8059, tmp_test: 0.8010, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 17, Runtime: 0.2554, Loss: 0.125, forward nfe 1188, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8044, tmp_test: 0.8081, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 18, Runtime: 0.2564, Loss: 0.143, forward nfe 1260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8081, tmp_test: 0.8071, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 19, Runtime: 0.2560, Loss: 0.172, forward nfe 1332, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8029, tmp_test: 0.8020, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
Epoch: 20, Runtime: 0.2388, Loss: 0.177, forward nfe 1404, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.7970, Train: 0.9786, Val: 0.8118, Test: 0.8112, Best time: 2.4800
